create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.predictor_cols,parameters.predictor_cols.__class__,parameters.predictor_cols.value,parameters.response_col,parameters.response_col.__class__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-23 17:20:51.679607,slurm_normal,1458754201.0,1,,1.0,main_w2_handler1,2152077,12237330,False,,17180309,vcf,6451312.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360437,,"[""1""]",,,"""1""",,32.0,,29167787,1458754168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:30:03.754075,43909.0,33.0
2016-03-23 17:20:45.135759,slurm_normal,1458753858.0,1,,1.0,main_w2_handler0,2152077,12237323,False,,17571744,vcf,6451233.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360427,,"[""1""]",,,"""1""",,32.0,,29167787,1458753832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:24:20.475968,43909.0,26.0
2016-03-23 17:20:48.133812,slurm_normal,1458754020.0,1,,1.0,main_w1_handler0,2152077,12237326,False,,17001398,vcf,6451280.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360431,,"[""1""]",,,"""1""",,32.0,,29167787,1458754008.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:27:03.089126,43909.0,12.0
2016-03-23 17:20:46.499881,slurm_normal,1458753884.0,1,,1.0,main_w1_handler0,2152077,12237324,False,,16702996,vcf,6451245.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360429,,"[""1""]",,,"""1""",,32.0,,29167787,1458753878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:24:48.588353,43909.0,6.0
2016-03-23 17:20:47.425459,slurm_normal,1458754171.0,1,,1.0,main_w1_handler1,2152077,12237325,False,,17538023,vcf,6451310.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360430,,"[""1""]",,,"""1""",,32.0,,29167787,1458754165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:29:35.580287,43909.0,6.0
2016-03-23 17:20:49.648386,slurm_normal,1458754067.0,1,,1.0,main_w2_handler1,2152077,12237328,False,,16800753,vcf,6451289.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360434,,"[""1""]",,,"""1""",,32.0,,29167787,1458754059.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:27:51.229636,43909.0,8.0
2016-03-23 17:20:52.407831,slurm_normal,1458753934.0,1,,1.0,main_w2_handler0,2152077,12237331,False,,17119765,vcf,6451256.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360438,,"[""1""]",,,"""1""",,32.0,,29167787,1458753923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:25:37.575765,43909.0,11.0
2016-03-23 17:20:53.526352,slurm_normal,1458753958.0,1,,1.0,main_w1_handler2,2152077,12237333,False,,16958520,vcf,6451267.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360440,,"[""1""]",,,"""1""",,32.0,,29167787,1458753954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:26:01.329121,43909.0,4.0
2016-03-23 17:20:48.813359,slurm_normal,1458753958.0,1,,1.0,main_w2_handler1,2152077,12237327,False,,16659405,vcf,6451266.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18360432,,"[""1""]",,,"""1""",,32.0,,29167787,1458753953.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-03-23 17:26:02.615133,43909.0,5.0
2016-07-15 04:39:53.931998,slurm_normal,1468557640.0,0,,1.0,main_w1_handler1,2407870,13416884,False,,36729,tabular,7629121.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598a8efbf5e92447f'}]","[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51""]",,,"""1""",,32.0,,30048218,1468557632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2016-07-15 04:40:42.285812,67737.0,8.0
