create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.inputA.values,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-25 18:27:18.859741,slurm_normal,1477420059.0,0,1.0,main_w3_handler1,2867414,14172047,False,,466194,bed,8384825.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52fd803b0d3edb178'}]","""false""",32.0,,33897696,1477420042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 18:27:42.217082,93020.0,17.0
2016-10-25 18:24:42.429775,slurm_normal,1477419893.0,0,1.0,main_w4_handler0,2867414,14172029,False,,466194,bed,8384808.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52fd803b0d3edb178'}]","""false""",32.0,,33897696,1477419887.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-25 18:24:56.818554,93020.0,6.0
2016-10-03 14:01:07.435536,slurm_normal,1475503525.0,0,1.0,main_w4_handler1,2836029,13996467,False,,5850453,bed,8215669.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""40000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f6d5e5671dd744de'}]","""false""",32.0,,33357027,1475503514.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-03 14:05:25.955724,44628.0,11.0
2016-10-03 15:16:59.415904,slurm_normal,1475508154.0,0,1.0,main_w4_handler1,2836029,13997300,False,,5850453,bed,8216460.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""40000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b574034cb46a0ae99b'}]","""false""",32.0,,33357027,1475508137.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-03 15:22:36.543167,44628.0,17.0
2016-10-29 09:04:36.092689,slurm_normal,1477731885.0,0,1.0,main_w3_handler1,2867414,14205042,False,,1278006,bed,8416675.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f6edd08b2641dfac'}]","""false""",32.0,,33897696,1477731879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-29 09:04:47.146519,93020.0,6.0
2016-11-04 08:04:07.316636,slurm_normal,1478246657.0,0,1.0,main_w4_handler1,2867414,14248823,False,,470331,bed,8457998.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5168bc8203be73009'}]","""false""",32.0,,33897696,1478246652.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-11-04 08:04:19.765516,93020.0,5.0
2016-10-10 22:39:07.113470,slurm_normal,1476139230.0,0,1.0,main_w4_handler1,2848671,14048939,False,,527056,bed,8266605.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""5000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55936f4e9a718dc6d'}]","""false""",32.0,,33590297,1476139226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-10-10 22:40:32.422711,87324.0,4.0
2016-11-13 09:18:11.395005,slurm_normal,1479028702.0,0,1.0,main_w3_handler1,2892324,14328195,False,,440304,bed,8535456.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ef25505c9dc01185'}]","""false""",32.0,,34228153,1479028696.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-11-13 09:18:24.742800,93020.0,6.0
2016-11-18 12:34:18.848437,slurm_normal,1479472497.0,0,1.0,main_w3_handler0,2814077,14376495,False,,3955,bed,8581846.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf0515a7f3efe6d6'}]","""false""",32.0,,32838181,1479472491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-11-18 12:35:02.062455,,6.0
2017-01-14 22:46:18.343338,slurm_normal,1484434028.0,0,1.0,main_w4_handler1,2956335,14769027,False,,73673367,bed,8932436.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""","[{'src': 'hda', 'id': 27933379}]","""true""",32.0,,35299181,1484434014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2017-01-14 22:47:10.556861,70484.0,14.0
