chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,parameters.vcf_input.values,parameters.vcf_input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-09-02 23:41:15.772829,slurm_normal,1441237313.0,0,,1.0,main_w2_handler0,2419910,10248154,False,,4534130.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20991651,,,32.0,,24851370,1441237309.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-02 23:41:55.834048,68207.0,3567935,vcf,4.0
,,2015-09-22 05:02:30.041295,slurm_normal,1442898177.0,0,,1.0,main_w2_handler0,2442808,10379427,False,,4660566.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21203937,,,32.0,,25315616,1442898171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-22 05:03:01.209633,1490.0,8482007,vcf,6.0
,,2015-09-22 05:10:08.272440,slurm_normal,1442898632.0,0,,1.0,main_w2_handler0,2442808,10379461,False,,4660596.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21203937,,,32.0,,25315616,1442898627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-22 05:10:35.404058,1490.0,8482007,vcf,5.0
,,2015-09-04 09:12:52.115206,slurm_normal,1441358004.0,0,,1.0,main_w1_handler2,2403275,10257851,False,,4545182.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21006356,,,32.0,,25014204,1441357995.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-04 09:13:26.988406,67511.0,4985048,vcf,9.0
,,2015-09-09 05:04:10.039783,slurm_normal,1441775101.0,0,,1.0,main_w1_handler0,2432631,10281837,False,,4567579.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21051322,,,32.0,,25080614,1441775086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-09 05:05:03.119702,,69387962,vcf,15.0
,,2015-09-10 09:59:21.255902,slurm_normal,1441879188.0,0,,1.0,main_w1_handler0,2215219,10292840,False,,4578115.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21067921,,,32.0,,25001458,1441879181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:59:52.937554,60032.0,24830691,vcf,7.0
,,2015-09-10 09:56:11.472034,slurm_normal,1441878999.0,0,,1.0,main_w2_handler0,2215219,10292823,False,,4578094.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21067909,,,32.0,,25001458,1441878993.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:56:43.063482,60032.0,23956279,vcf,6.0
,,2015-09-10 09:01:13.084405,slurm_normal,1441875704.0,0,,1.0,main_w2_handler0,2215219,10292526,False,,4577815.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21011948,,,32.0,,25001458,1441875699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:01:46.484248,60032.0,1963457,vcf,5.0
,,2015-09-10 09:10:34.884918,slurm_normal,1441876258.0,0,,1.0,main_w1_handler2,2215219,10292579,False,,4577873.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21003581,,,32.0,,25001458,1441876252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:11:01.293420,60032.0,11699961,vcf,6.0
,,2015-09-10 09:07:03.152408,slurm_normal,1441876045.0,0,,1.0,main_w1_handler1,2215219,10292564,False,,4577857.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21011741,,,32.0,,25001458,1441876041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:07:28.434591,60032.0,2760839,vcf,4.0
,,2015-09-10 09:10:42.917955,slurm_normal,1441876275.0,0,,1.0,main_w1_handler1,2215219,10292580,False,,4577874.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21003581,,,32.0,,25001458,1441876269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:11:18.961521,60032.0,11699961,vcf,6.0
,,2015-09-10 09:03:34.139578,slurm_normal,1441875835.0,0,,1.0,main_w2_handler0,2215219,10292549,False,,4577832.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21011878,,,32.0,,25001458,1441875831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:03:58.407941,60032.0,3812623,vcf,4.0
,,2015-09-10 09:03:23.943154,slurm_normal,1441875829.0,0,,1.0,main_w1_handler1,2215219,10292538,False,,4577829.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21011831,,,32.0,,25001458,1441875825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-09-10 09:03:52.536948,60032.0,4019089,vcf,4.0
