chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-07 23:41:18.525789,slurm_normal,1441669306.0,0.0,,1.0,main_w2_handler1,2427796,10274304,False,,49599,vcf,4560474.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21034653,,32.0,,25041885,1441669300.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-09-07 23:41:48.287211,68592.0,6.0
,,2014-10-17 20:29:13.972102,rodeo_normal,1413577768.0,0.0,,1.0,main_w2_handler0,1523156,8001040,False,,546174,vcf,38137.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",17250410,,2.0,,17314082,1413577766.0,ok,0.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2014-10-17 20:29:32.410264,30247.0,2.0
262.0,len,2015-10-10 00:10:15.004892,slurm_normal,1444435832.0,0.0,,1.0,main_w1_handler1,1139014,10539277,False,,1028939,vcf,4813279.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/729/dataset_12729458.dat""","""?""",21463641,,32.0,,24230835,1444435827.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-10-10 00:10:34.033317,26638.0,5.0
,,2016-02-04 05:33:11.318724,slurm_normal,1454564151.0,0.0,,1.0,main_w1_handler2,2419718,11707895,False,,2144,vcf,5965495.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23178374,,32.0,,27634436,1454564147.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-02-04 05:35:53.226017,62983.0,4.0
,,2015-06-04 15:45:47.109580,slurm_normal,1433432783.0,0.0,,1.0,main_w2_handler1,2328833,9598507,False,,67921,vcf,3909749.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/485/dataset_11485763.dat""","""brca1""",19914895,,32.0,,23456407,1433432779.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-04 15:46:26.211777,64301.0,4.0
,,2015-06-22 18:04:43.875701,slurm_normal,1434996316.0,0.0,,1.0,main_w2_handler0,2352009,9709867,False,,132262,vcf,4016884.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20095333,,32.0,,23708314,1434996303.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-22 18:05:21.626338,60632.0,13.0
,,2015-08-25 18:39:22.035860,slurm_normal,1440527995.0,0.0,,1.0,main_w1_handler2,2417418,10198565,False,,1975969,vcf,4469063.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20903595,,32.0,,24818280,1440527985.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-08-25 18:39:58.369577,68147.0,10.0
,,2015-08-02 20:03:35.233622,slurm_normal,1438545837.0,0.0,,1.0,main_w1_handler0,2398981,10051776,False,,395839,vcf,4331381.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20668049,,32.0,,24204859,1438545833.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-08-02 20:04:00.582213,66476.0,4.0
,,2014-10-31 17:53:02.187629,rodeo_normal,1414777999.0,0.0,,1.0,main_w1_handler1,2099093,8079782,False,,18903658895,vcf,106137.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/main/files/008/473/dataset_8473017.dat""","""AdarC3.1""",17348341,,2.0,,17978144,1414777995.0,ok,0.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2014-10-31 17:53:22.364665,49900.0,4.0
20.0,len,2017-03-18 01:23:47.525967,slurm_normal,1489800710.0,0.0,,1.0,main_w4_handler1,3033211,15328832,False,,33286,vcf,9469636.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/019/245/dataset_19245144.dat""","""?""",,"[{'src': 'hda', 'id': 28773185}]",32.0,,36573049,1489800704.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2017-03-18 01:33:51.074709,98016.0,6.0
,,2015-08-25 18:05:28.995575,slurm_normal,1440525990.0,0.0,,1.0,main_w2_handler0,2417418,10198364,False,,123140,vcf,4468828.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20902100,,32.0,,24818280,1440525953.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-08-25 18:06:34.872026,68147.0,37.0
,,2016-06-13 21:58:05.644682,slurm_normal,1465855103.0,0.0,,1.0,main_w1_handler0,2678796,13152811,False,,5322123,vcf,7337120.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58790719ea317af48'}]",32.0,,30402988,1465855099.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-06-13 21:58:24.984126,83091.0,4.0
,,2015-07-15 09:48:07.397024,slurm_normal,1436953736.0,0.0,,1.0,main_w1_handler0,2375429,9871501,False,,112722,vcf,4161106.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20344577,,32.0,,23696676,1436953731.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-07-15 09:48:59.171074,9607.0,5.0
,,2015-09-09 01:38:42.451704,slurm_normal,1441762748.0,0.0,,1.0,main_w1_handler0,2423331,10281447,False,,502312,vcf,4567186.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21048013,,32.0,,25077778,1441762743.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-09-09 01:39:10.709106,66456.0,5.0
,,2016-04-30 20:05:05.618269,slurm_normal,1462046736.0,0.0,,1.0,main_w1_handler0,1490317,12699055,False,,527,interval,6905444.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508c483608d038c39'}]",32.0,,29954981,1462046733.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-04-30 20:05:38.963619,36047.0,3.0
,,2015-10-20 05:57:20.914780,slurm_normal,1445320655.0,0.0,,1.0,main_w2_handler0,2472967,10650023,False,,2513926,vcf,4915157.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21547267,,32.0,,25713911,1445320650.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-10-20 05:57:39.773836,71406.0,5.0
