create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.probability,parameters.seed,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-05 20:14:37.281879,slurm_normal,1520281222.0,0,7680.0,1.0,main_w4_handler1,3438033,18614934,False,,1154652748,bam,12710724,slurm,,132112168.0,corral-repl,,"""d2bf698e20b111e8a9ba005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34221302}]",,"""0.991""","""1""","""LENIENT""",32.0,,,1520280963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-03-05 20:20:24.519429,101862.0,259.0
2017-11-07 14:04:46.702748,slurm_normal,1510063689.0,0,,1.0,main_w4_handler1,2793435,17365509,False,,10745739,bam,11424526,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/felCat8.len""","""felCat8""","[{'src': 'hda', 'id': 32124138}]",,"""0.05""","""1""","""LENIENT""",32.0,,41642329.0,1510063678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-07 14:08:30.371352,54104.0,11.0
2018-01-30 03:20:25.601626,slurm_normal,1517282496.0,0,,1.0,main_w3_handler0,3385811,18196765,False,,39653407,bam,12277585,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33562311}]",,"""0.62""","""1""","""LENIENT""",32.0,,43070852.0,1517282476.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-30 03:21:38.645874,86181.0,20.0
2018-01-30 03:20:27.458800,slurm_normal,1517282505.0,0,,1.0,main_w4_handler1,3385811,18196770,False,,33856917,bam,12277589,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33562606}]",,"""0.62""","""1""","""LENIENT""",32.0,,43070852.0,1517282494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-30 03:21:46.826949,86181.0,11.0
2018-01-30 03:20:32.151533,slurm_normal,1517282555.0,0,,1.0,main_w3_handler1,3385811,18196780,False,,44381356,bam,12277597,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33563449}]",,"""0.62""","""1""","""LENIENT""",32.0,,43070852.0,1517282534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-30 03:22:37.711730,86181.0,21.0
2018-01-30 03:20:30.256712,slurm_normal,1517282529.0,0,,1.0,main_w3_handler1,3385811,18196776,False,,50615081,bam,12277593,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33563110}]",,"""0.62""","""1""","""LENIENT""",32.0,,43070852.0,1517282517.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-30 03:22:10.926118,86181.0,12.0
2018-01-10 20:31:00.287810,slurm_normal,1515616299.0,0,,1.0,main_w4_handler0,3345623,17996501,False,,70370770,bam,12073289,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33253408}]",,"""0.01""","""1""","""LENIENT""",32.0,,42334682.0,1515616278.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2018-01-10 20:31:41.415109,45373.0,21.0
2017-11-09 17:54:18.056081,slurm_normal,1510250224.0,0,,1.0,main_w4_handler1,3263506,17400105,False,,1439586412,bam,11461652,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32198617}]",,"""0.05""","""0""","""LENIENT""",32.0,,41891008.0,1510250083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-09 17:57:13.835250,30104.0,141.0
2017-11-09 19:42:00.524027,slurm_normal,1510256538.0,0,,1.0,main_w3_handler0,3252053,17401543,False,,17307311,bam,11463233,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32203075}]",,"""0.1""","""1""","""LENIENT""",32.0,,41891152.0,1510256530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-09 19:42:19.440300,111468.0,8.0
2017-11-09 19:42:01.027251,slurm_normal,1510256542.0,0,,1.0,main_w3_handler0,3252053,17401545,False,,4292128,bam,11463234,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32203077}]",,"""0.1""","""1""","""LENIENT""",32.0,,41891152.0,1510256530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_DownsampleSam/2.7.1.0,2.7.1.0,,2017-11-09 19:42:24.460135,111468.0,12.0
