chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-12-11 15:05:51.376761,slurm_normal,1481468769.0,0,,1.0,main_w3_handler1,2918071,14542816,False,,5877645,fasta,8725402.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583393}]",,"""0""",32.0,,34789598.0,1481468765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:10.911479,96708.0,4.0
,,2016-12-11 15:05:52.652207,slurm_normal,1481468789.0,0,,1.0,main_w4_handler0,2918071,14542821,False,,5689933,fasta,8725416.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583398}]",,"""0""",32.0,,34789598.0,1481468785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:31.243982,96708.0,4.0
,,2016-12-11 15:05:53.323309,slurm_normal,1481468790.0,0,,1.0,main_w4_handler0,2918071,14542824,False,,5681646,fasta,8725418.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583401}]",,"""0""",32.0,,34789598.0,1481468787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:31.924389,96708.0,3.0
,,2016-12-11 15:05:50.654975,slurm_normal,1481468779.0,0,,1.0,main_w4_handler0,2918071,14542812,False,,6146121,fasta,8725406.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583389}]",,"""0""",32.0,,34789598.0,1481468774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:20.375699,96708.0,5.0
,,2016-12-11 15:05:48.978267,slurm_normal,1481468759.0,0,,1.0,main_w4_handler1,2918071,14542804,False,,5888969,fasta,8725394.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583380}]",,"""0""",32.0,,34789598.0,1481468754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:02.586449,96708.0,5.0
,,2016-12-11 15:05:51.192949,slurm_normal,1481468788.0,0,,1.0,main_w4_handler0,2918071,14542815,False,,4990883,fasta,8725415.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583392}]",,"""0""",32.0,,34789598.0,1481468784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:30.097253,96708.0,4.0
,,2016-12-11 15:05:49.149233,slurm_normal,1481468757.0,0,,1.0,main_w4_handler0,2918071,14542805,False,,5553302,fasta,8725391.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583381}]",,"""0""",32.0,,34789598.0,1481468751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:05:58.429857,96708.0,6.0
,,2016-12-11 15:05:50.485916,slurm_normal,1481468770.0,0,,1.0,main_w4_handler0,2918071,14542811,False,,10862896,fasta,8725400.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583388}]",,"""0""",32.0,,34789598.0,1481468765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:11.776336,96708.0,5.0
,,2016-12-11 15:05:54.932412,slurm_normal,1481468798.0,0,,1.0,main_w3_handler0,2918071,14542830,False,,5792140,fasta,8725420.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583407}]",,"""0""",32.0,,34789598.0,1481468792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:39.432692,96708.0,6.0
,,2016-12-11 15:05:52.893163,slurm_normal,1481468788.0,0,,1.0,main_w3_handler0,2918071,14542822,False,,5694346,fasta,8725413.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583399}]",,"""0""",32.0,,34789598.0,1481468784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:30.272235,96708.0,4.0
,,2016-12-11 15:05:49.485546,slurm_normal,1481468758.0,0,,1.0,main_w4_handler1,2918071,14542807,False,,5641636,fasta,8725396.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583384}]",,"""0""",32.0,,34789598.0,1481468754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:02.629587,96708.0,4.0
,,2016-12-11 15:05:50.823771,slurm_normal,1481468780.0,0,,1.0,main_w4_handler0,2918071,14542813,False,,5146932,fasta,8725410.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583390}]",,"""0""",32.0,,34789598.0,1481468777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:21.402143,96708.0,3.0
,,2016-12-11 15:05:54.251289,slurm_normal,1481468801.0,0,,1.0,main_w4_handler0,2918071,14542828,False,,11707517,fasta,8725423.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583405}]",,"""0""",32.0,,34789598.0,1481468798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:43.292369,96708.0,3.0
,,2016-12-11 15:05:55.368977,slurm_normal,1481468799.0,0,,1.0,main_w3_handler0,2918071,14542832,False,,5886501,fasta,8725422.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27583409}]",,"""0""",32.0,,34789598.0,1481468795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 15:06:40.655435,96708.0,4.0
,,2016-12-11 18:31:54.992410,slurm_normal,1481481122.0,0,,1.0,main_w3_handler1,2849246,14543394,False,,356104,fasta,8725851.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27584296}]",,"""100""",32.0,,33578256.0,1481481117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 18:32:03.678599,91934.0,5.0
,,2016-12-11 18:35:54.986240,slurm_normal,1481481362.0,0,,1.0,main_w4_handler1,2849246,14543405,False,,359662,fasta,8725860.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27584300}]",,"""70""",32.0,,33578256.0,1481481357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-11 18:36:04.381352,91934.0,5.0
,,2016-12-12 09:28:56.447092,slurm_normal,1481534945.0,0,,1.0,main_w3_handler1,2926758,14546903,False,,1675034,fasta,8729064.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27589249}]",,"""70""",32.0,,34799057.0,1481534942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-12 09:29:07.843454,,3.0
,,2016-12-12 09:33:01.624468,slurm_normal,1481535189.0,0,,1.0,main_w3_handler1,2926758,14546988,False,,1675034,fasta,8729150.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27589249}]",,"""60""",32.0,,34799057.0,1481535184.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2016-12-12 09:33:10.189987,,5.0
,,2017-03-01 10:41:47.096712,slurm_normal,1488364914.0,0,,1.0,main_w4_handler0,3014912,15176994,False,,9760769,fasta,9327581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28568491}]",,"""0""",32.0,,35529132.0,1488364911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_formatter/cshl_fasta_formatter/1.0.0,1.0.0,,2017-03-01 10:41:55.780154,,3.0
