chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.input.values,parameters.input|__identifier__,parameters.name,parameters.split,parameters.strand,parameters.tab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-04 20:48:38.991859,slurm_normal,1491338947.0,0,121183067,fasta,1.0,main_w3_handler0,3053641,15488104,False,,4076014,bed,9615939.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29070789}]","[{'src': 'hda', 'id': 29070741}]",,"""true""","""false""","""false""","""false""",32.0,,36128564.0,1491338937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-04 20:49:10.879749,94149.0,10.0
,,2017-03-02 18:41:41.047035,slurm_normal,1488480330.0,0,2776390504,fasta,1.0,main_w3_handler1,2967247,15191462,False,,1412166214,bed,9342264.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28591053}]","[{'src': 'hda', 'id': 28565717}]",,"""false""","""false""","""false""","""false""",32.0,,35122622.0,1488480105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-02 18:45:33.407188,88920.0,225.0
,,2017-03-02 23:55:51.946228,slurm_normal,1488498963.0,0,985528622,fasta,1.0,main_w3_handler0,2998468,15194879,False,,60733,gff,9345493.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28596563}]","[{'src': 'hda', 'id': 28560656}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488498956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-02 23:56:05.736733,99128.0,7.0
,,2017-04-04 23:42:47.748533,slurm_normal,1491349386.0,0,170182894,fasta,1.0,main_w3_handler1,2950090,15489362,False,,3641,bed,9617382.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28948109}]","[{'src': 'hda', 'id': 29073041}]",,"""false""","""false""","""false""","""false""",32.0,,35330837.0,1491349381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-04-04 23:43:09.406055,97949.0,5.0
,,2017-03-03 00:07:57.376343,slurm_normal,1488499688.0,0,990744229,fasta,1.0,main_w3_handler1,2998468,15194962,False,,60733,gff,9345549.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28560656}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488499683.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 00:08:11.312337,99128.0,5.0
,,2017-03-03 00:09:52.961079,slurm_normal,1488499800.0,0,990744229,fasta,1.0,main_w4_handler1,2998468,15194972,False,,136107,gff3,9345563.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28444640}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488499797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 00:10:04.229802,99128.0,3.0
,,2017-03-03 00:13:36.149140,slurm_normal,1488500024.0,0,990744229,fasta,1.0,main_w3_handler0,2998468,15194979,False,,136107,gff3,9345576.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28596762}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488500020.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 00:13:47.056336,99128.0,4.0
,,2017-03-03 00:17:50.876178,slurm_normal,1488500277.0,0,990744229,fasta,1.0,main_w3_handler0,2998468,15194989,False,,136107,gff3,9345587.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28596769}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488500274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 00:17:59.628799,99128.0,3.0
,,2017-03-03 00:26:04.431543,slurm_normal,1488500782.0,0,990744229,fasta,1.0,main_w3_handler0,2998468,15195011,False,,136691,gff3,9345622.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28384962}]","[{'src': 'hda', 'id': 28596794}]",,"""false""","""false""","""false""","""false""",32.0,,35698865.0,1488500767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 00:26:24.363153,99128.0,15.0
,,2017-03-03 10:47:46.357939,slurm_normal,1488538224.0,0,45517599660,fasta,1.0,main_w3_handler1,3015219,15198311,False,,394556,bed,9348731.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28601336}]","[{'src': 'hda', 'id': 28601648}]",,"""false""","""false""","""false""","""false""",32.0,,36410329.0,1488538083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_getfastabed/2.24.0,2.24.0,,2017-03-03 10:50:26.771887,89972.0,141.0
