chromInfo,chromInfo_filetype,count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.count.values,parameters.count|__identifier__,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.name.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-06-06 10:11:34.928141,slurm_normal,1496744009.0,0,6965412,fastq,1.0,main_w3_handler1,3141837,16024981,False,,10116593.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906945}]","""forward""",,32.0,,38468429,1496744004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:13:31.414179,106930.0,5.0
,,,,2017-06-06 10:11:30.256449,slurm_normal,1496743992.0,0,2710311,fastq,1.0,main_w3_handler0,3141837,16024973,False,,10116589.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906933}]","""forward""",,32.0,,38468429,1496743987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:13:16.217383,106930.0,5.0
,,,,2017-06-06 10:11:18.345495,slurm_normal,1496743897.0,0,4370800,fastq,1.0,main_w3_handler1,3141837,16024949,False,,10116554.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906908}]","""reverse""",,32.0,,38468429,1496743890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:42.085540,106930.0,7.0
,,,,2017-06-06 10:11:18.765390,slurm_normal,1496743927.0,0,3295299,fastq,1.0,main_w4_handler0,3141837,16024950,False,,10116566.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906909}]","""forward""",,32.0,,38468429,1496743922.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:12:11.745812,106930.0,5.0
,,,,2017-06-06 10:11:19.139032,slurm_normal,1496743894.0,0,3292547,fastq,1.0,main_w4_handler1,3141837,16024951,False,,10116555.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906910}]","""reverse""",,32.0,,38468429,1496743890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:36.768280,106930.0,4.0
,,,,2017-06-06 10:11:33.203486,slurm_normal,1496743978.0,0,2816029,fastq,1.0,main_w3_handler1,3141837,16024978,False,,10116586.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906940}]","""reverse""",,32.0,,38468429,1496743974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:13:00.774609,106930.0,4.0
,,,,2017-06-06 10:11:19.606578,slurm_normal,1496743911.0,0,11016599,fastq,1.0,main_w3_handler0,3141837,16024952,False,,10116563.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906911}]","""forward""",,32.0,,38468429,1496743907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:55.519584,106930.0,4.0
,,,,2017-06-06 10:11:23.005934,slurm_normal,1496743948.0,0,4480600,fastq,1.0,main_w3_handler0,3141837,16024959,False,,10116576.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906919}]","""reverse""",,32.0,,38468429,1496743942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:12:32.538738,106930.0,6.0
,,,,2017-06-06 10:11:17.879460,slurm_normal,1496743892.0,0,4375560,fastq,1.0,main_w4_handler0,3141837,16024948,False,,10116553.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906907}]","""forward""",,32.0,,38468429,1496743888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:36.118993,106930.0,4.0
,,,,2017-06-06 10:11:20.138590,slurm_normal,1496743895.0,0,11003081,fastq,1.0,main_w4_handler1,3141837,16024953,False,,10116556.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29906912}]","""reverse""",,32.0,,38468429,1496743890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-06-06 10:11:41.260145,106930.0,5.0
