chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.direction,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.input2|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-09 00:24:57.981412,rodeo_normal,1423441528.0,0,,1.0,main_w2_handler0,2176770,8684561,False,,353541,interval,299223,interval,2683046.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18446877,,18245949,,,32.0,,21107506.0,1423441522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 00:25:30.776272,776.0,6.0
,,2015-02-09 00:25:36.019112,rodeo_normal,1423441567.0,0,,1.0,main_w2_handler0,2176770,8684565,False,,299223,interval,353541,interval,2683053.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245949,,18446877,,,32.0,,21107506.0,1423441562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 00:26:09.305122,776.0,5.0
,,2015-02-09 20:04:30.792478,rodeo_normal,1423512358.0,0,,1.0,main_w2_handler1,2200556,8688733,False,,1308,bed,7847682,bed,2691120.roundup,slurm,,132112168.0,corral-repl,,"""da68fb7ab09611e49eab005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18453671,,18442146,,,32.0,,21079780.0,1423512351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 20:06:01.548110,59368.0,7.0
,,2015-02-09 20:14:27.334738,rodeo_normal,1423512964.0,0,,1.0,main_w2_handler1,2200588,8688853,False,,401,bed,7847682,bed,2691359.roundup,slurm,,132112168.0,corral-repl,,"""3dbcd286b09811e4ae62005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""Either""",18454020,,18442146,,,32.0,,21079780.0,1423512959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 20:16:07.361125,59368.0,5.0
,,2015-02-09 23:31:25.803078,rodeo_normal,1423524725.0,0,,1.0,main_w2_handler0,2176770,8690081,False,,156137,interval,299223,interval,2693577.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245994,,18245949,,,32.0,,21142416.0,1423524717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:32:07.296612,776.0,8.0
,,2015-02-09 23:26:27.912856,rodeo_normal,1423524436.0,0,,1.0,main_w1_handler0,2176770,8690056,False,,84853,interval,299223,interval,2693504.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245965,,18245949,,,32.0,,21142416.0,1423524405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:27:18.012143,776.0,31.0
,,2015-02-09 23:31:09.164073,rodeo_normal,1423524743.0,0,,1.0,main_w1_handler0,2176770,8690078,False,,133088,interval,299223,interval,2693581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245992,,18245949,,,32.0,,21142416.0,1423524740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:32:26.197994,776.0,3.0
,,2015-02-09 23:27:16.811195,rodeo_normal,1423524468.0,0,,1.0,main_w1_handler1,2176770,8690058,False,,155225,interval,299223,interval,2693514.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""Either""",18245970,,18245949,,,32.0,,21142416.0,1423524463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-09 23:27:50.282117,776.0,5.0
,,2015-02-10 03:54:50.870151,rodeo_normal,1423540523.0,0,,1.0,main_w1_handler1,2200930,8691098,False,,3284,interval,7761739,bed,2695753.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""Either""",18456942,,18456951,,,32.0,,21156501.0,1423540516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-10 03:55:24.748419,,7.0
,,2015-02-10 04:16:09.747152,rodeo_normal,1423541795.0,0,,1.0,main_w1_handler1,2200930,8691138,False,,3749,bed,7761739,bed,2695843.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""Either""",18457007,,18456951,,,32.0,,21156501.0,1423541789.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1,4.0.1,,2015-02-10 04:16:36.885276,,6.0
