chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.flavourType,parameters.dbkey,parameters.inputSequences,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.outputFormat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-28 16:11:57.992808,slurm_normal,1453997552.0,0,1.0,main_w2_handler1,2546360,11624045,False,,144455,fasta,5888116.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",2,mafft-fftnsi,"""?""",23070186,,,"""fasta""",32.0,,27833531.0,1453997533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:12:38.690134,68224.0,19.0
,,2016-01-28 16:19:23.797557,slurm_normal,1453998003.0,0,1.0,main_w2_handler0,2581263,11624091,False,,819084,fasta,5888168.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070254,,,"""fasta""",32.0,,27148034.0,1453997977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:20:07.644157,69131.0,26.0
,,2016-01-28 16:28:19.632735,slurm_normal,1453998582.0,0,1.0,main_w1_handler2,2581263,11624190,False,,817845,fasta,5888255.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070402,,,"""fasta""",32.0,,27148034.0,1453998514.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:29:50.438272,69131.0,68.0
,,2016-01-28 18:08:11.619777,slurm_normal,1454004561.0,0,1.0,main_w1_handler2,2581473,11625159,False,,1327914,fasta,5889123.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/hg19.len""",0,mafft-fftns,"""hg19""",23071639,,,"""clustalw""",32.0,,26342674.0,1454004504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 18:09:27.205796,73750.0,57.0
,,2016-01-28 16:28:12.835640,slurm_normal,1453998510.0,0,1.0,main_w2_handler1,2546360,11624188,False,,7278,fasta,5888252.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070292,,,"""fasta""",32.0,,27833531.0,1453998504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:28:33.504856,68224.0,6.0
,,2016-01-28 16:29:29.114608,slurm_normal,1453998592.0,0,1.0,main_w2_handler0,2546360,11624196,False,,7278,fasta,5888265.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23070292,,,"""fasta""",32.0,,27833531.0,1453998588.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-28 16:29:56.945287,68224.0,4.0
,,2016-01-29 05:33:59.660968,slurm_normal,1454053265.0,0,1.0,main_w1_handler1,2580746,11628521,False,,17773568,fasta,5892717.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23076228,,,"""fasta""",32.0,,27851707.0,1454045651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-29 07:41:07.977024,77672.0,7614.0
,,2016-01-29 01:45:15.264475,slurm_normal,1454035072.0,0,1.0,main_w2_handler0,2580746,11627455,False,,11659617,fasta,5891504.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23064324,,,"""fasta""",32.0,,27851707.0,1454031926.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-29 02:37:56.059362,77672.0,3146.0
,,2016-01-30 04:59:10.743654,slurm_normal,1454137394.0,0,1.0,main_w2_handler1,2580746,11636842,False,,17773568,fasta,5900377.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23076228,,,"""fasta""",32.0,,27851707.0,1454129966.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-30 07:03:17.902707,77672.0,7428.0
,,2016-03-10 10:44:52.780543,slurm_normal,1457606910.0,0,1.0,main_w1_handler0,2605729,12094121,False,,2008557,fasta,6318611.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,mafft-fftns,"""?""",23776222,,,"""fasta""",32.0,,28916807.0,1457606710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-03-10 10:48:33.814541,60463.0,200.0
,,2016-01-30 01:16:03.323993,slurm_normal,1454124039.0,0,1.0,main_w2_handler1,2580746,11636538,False,,17773568,fasta,5900012.roundup,slurm,,132112168.0,corral-repl,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23076228,,,"""fasta""",32.0,,27851707.0,1454116576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-30 03:20:48.335681,77672.0,7463.0
,,2016-01-30 12:37:18.964989,slurm_normal,1454196350.0,0,1.0,main_w1_handler1,2583306,11637414,False,,34532095,fasta,5901065.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,mafft --auto,"""?""",23090068,,,"""fasta""",32.0,,27947007.0,1454157446.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-01-30 23:25:54.415989,77765.0,38904.0
,,2016-04-26 16:40:48.105311,slurm_normal,1461688867.0,0,1.0,main_w1_handler0,2681097,12625295,False,,504,fasta,6828633.roundup,slurm,,132112168.0,corral-repl,,,""" ""","""/galaxy-repl/localdata/chrom/dm3.len""",0,mafft-fftns,"""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b587a90a7fde708f62'}]",,"""fasta""",32.0,,29195711.0,1461688863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.1,7.221.1,,2016-04-26 16:41:09.936819,71010.0,4.0
