chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq1,fastq1_filetype,fastq2,fastq2_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fastq1,parameters.fastq1.values,parameters.fastq1|__identifier__,parameters.fastq2,parameters.fastq2.values,parameters.fastq2|__identifier__,parameters.invariant,parameters.taglen,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-20 18:16:06.080933,slurm_normal,1466446596.0,0,1528842,fastq,2256914,fastq,1.0,main_w2_handler1,2743471,13213599,False,,7398166.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51b9abc664eaea82b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52c4cd2779f15455f'}]",,"""20""","""22""",32.0,,30952259.0,1466446593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:39.943840,86313.0,3.0
,,2016-06-20 18:16:04.546259,slurm_normal,1466446608.0,0,2115618,fastq,1528881,fastq,1.0,main_w1_handler1,2743471,13213594,False,,7398174.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f884253c4cda2399'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b517a0b81b1647e6f9'}]",,"""20""","""22""",32.0,,30952259.0,1466446604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:51.054939,86313.0,4.0
,,2016-06-20 18:16:04.816025,slurm_normal,1466446596.0,0,1528881,fastq,1679183,fastq,1.0,main_w2_handler0,2743471,13213595,False,,7398169.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57abb4d6e0d5306e7'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5439b703d9622507c'}]",,"""20""","""22""",32.0,,30952259.0,1466446593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:38.882263,86313.0,3.0
,,2016-06-20 18:16:00.416640,slurm_normal,1466446578.0,0,1309732,fastq,1935704,fastq,1.0,main_w2_handler1,2743471,13213585,False,,7398154.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59f8e72a494cd58fd'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50821c8958a70ede9'}]",,"""20""","""22""",32.0,,30952259.0,1466446571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:20.764426,86313.0,7.0
,,2016-06-20 18:16:10.116212,slurm_normal,1466446624.0,0,1109992,fastq,1384115,fastq,1.0,main_w2_handler1,2743471,13213609,False,,7398183.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53612ab6d3c443262'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bbadc88c2d12316c'}]",,"""20""","""22""",32.0,,30952259.0,1466446621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:17:06.978406,86313.0,3.0
,,2016-06-20 18:16:05.819116,slurm_normal,1466446580.0,0,1805183,fastq,1528842,fastq,1.0,main_w1_handler0,2743471,13213598,False,,7398159.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50915b1cf33949177'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5703685d0c4870f8e'}]",,"""20""","""22""",32.0,,30952259.0,1466446577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:21.730095,86313.0,3.0
,,2016-06-20 18:16:00.907515,slurm_normal,1466446574.0,0,1935704,fastq,1715453,fastq,1.0,main_w1_handler1,2743471,13213586,False,,7398153.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b543d8e3d9211d6c76'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b566f35b2ca5e89d2c'}]",,"""20""","""22""",32.0,,30952259.0,1466446568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:17.372999,86313.0,6.0
,,2016-06-20 18:16:09.741196,slurm_normal,1466446621.0,0,2097422,fastq,1109992,fastq,1.0,main_w1_handler1,2743471,13213608,False,,7398182.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572d95c5a7e648be6'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55837e2eac23ecaca'}]",,"""20""","""22""",32.0,,30952259.0,1466446618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:17:03.579130,86313.0,3.0
,,2016-06-20 18:16:05.353363,slurm_normal,1466446581.0,0,1262154,fastq,1805183,fastq,1.0,main_w1_handler0,2743471,13213597,False,,7398155.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aae985c005ecc45b'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c8d5e2482582fe97'}]",,"""20""","""22""",32.0,,30952259.0,1466446578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:24.838325,86313.0,3.0
,,2016-06-20 18:16:03.337178,slurm_normal,1466446593.0,0,1394846,fastq,1926627,fastq,1.0,main_w1_handler1,2743471,13213590,False,,7398162.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1b2c9898533a958'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b548a14e960faa318c'}]",,"""20""","""22""",32.0,,30952259.0,1466446590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.3,0.3,,2016-06-20 18:16:34.441054,86313.0,3.0
