chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_different_units,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.mono_threshold,parameters.non_mono_threshold,parameters.separation,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-06 20:39:52.862195,slurm_normal,1430945530.0,0,1.0,main_w2_handler1,2296108,9415226,False,,24657726,fasta,3745112.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19614716,,"""9""","""4""","""10""",32.0,,22915637,1430944897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-05-06 20:52:18.140953,,633.0
,,2015-04-23 09:05:05.896473,slurm_normal,1429779973.0,0,1.0,main_w2_handler0,2279427,9308895,False,,26707,fasta,3632372.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19430856,,"""5""","""3""","""10""",32.0,,22663739,1429779969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-04-23 09:06:27.601516,,4.0
,,2015-07-29 19:15:44.197469,slurm_normal,1438197366.0,0,1.0,main_w1_handler0,2394659,10027979,False,,53017,fasta,4309468.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20616413,,"""1000""","""72""","""0""",32.0,,24379234,1438197361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-07-29 19:16:10.798192,66673.0,5.0
,,2015-07-29 19:22:00.344382,slurm_normal,1438197748.0,0,1.0,main_w2_handler0,2394659,10028004,False,,94795,fasta,4309490.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20616473,,"""9""","""4""","""0""",32.0,,24379234,1438197742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-07-29 19:22:32.904446,66673.0,6.0
,,2015-08-08 13:41:05.824268,slurm_normal,1439048976.0,0,1.0,main_w1_handler0,2403937,10083226,False,,935912459,fasta,4360138.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20720195,,"""30""","""4""","""10""",32.0,,24582117,1439041288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-08 15:49:38.746735,,7688.0
,,2015-08-08 13:41:30.787787,slurm_normal,1439056312.0,0,1.0,main_w2_handler0,2403937,10083227,False,,935912459,fasta,4360356.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20720195,,"""4""","""30""","""10""",32.0,,24582117,1439048996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-08 17:51:55.396385,,7316.0
,,2015-08-10 11:42:38.425330,slurm_normal,1439214677.0,0,1.0,main_w1_handler2,2403937,10091466,False,,935912459,fasta,4367222.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20720195,,"""20""","""1""","""10""",32.0,,24583593,1439206983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-10 13:51:21.016387,67548.0,7694.0
,,2015-08-10 12:34:41.440703,slurm_normal,1439215997.0,0,1.0,main_w2_handler1,2401593,10091696,False,,732165005,fasta,4367412.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20731586,,"""15""","""6""","""10""",32.0,,24611057,1439210108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-10 14:13:20.850607,67426.0,5889.0
,,2015-08-10 09:12:32.787288,slurm_normal,1439205650.0,0,1.0,main_w1_handler2,2403937,10090655,False,,935912459,fasta,4366378.roundup,slurm,,132112168.0,corral-repl,,"""1""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20720195,,"""30""","""4""","""10""",32.0,,24610737,1439197982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-10 11:20:54.151350,67548.0,7668.0
,,2015-08-18 14:45:13.739512,slurm_normal,1439909155.0,0,1.0,main_w1_handler2,2411623,10141760,False,,5231326,fasta,4412511.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20812035,,"""12""","""5""","""10""",32.0,,24732267,1439909138.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/microsats_alignment_level/microsats_align1/1.0.0,1.0.0,,2015-08-18 14:45:58.111757,,17.0
