create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.report,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-12-17 16:54:02.619580,rodeo_normal,1418835488.0,0,1.0,main_w1_handler1,1976796,8433597,False,,1633,tabular,585718.rodeo,slurm,,16332532.0,corral-repl,,"""4bd7b698860d11e4a615005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009621,,"""True""",2.0,,20012132,1418835479.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 16:58:11.633273,21577,9.0
2014-12-17 17:14:37.236169,rodeo_normal,1418836765.0,0,1.0,main_w2_handler0,1976796,8433732,False,,949,tabular,586262.rodeo,slurm,,16332532.0,corral-repl,,"""2651823e861011e4816c005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009862,,"""True""",2.0,,20012132,1418836759.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:19:40.981302,21577,6.0
2014-12-17 17:13:44.329109,rodeo_normal,1418836677.0,0,1.0,main_w2_handler0,1976796,8433721,False,,1633,tabular,586211.rodeo,slurm,,16332532.0,corral-repl,,"""0a5ed0a4861011e4925e005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009845,,"""True""",2.0,,20012132,1418836666.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:18:03.730933,21577,11.0
2014-12-17 17:05:49.773282,rodeo_normal,1418836251.0,0,1.0,main_w1_handler1,1976796,8433648,False,,949,tabular,586082.rodeo,slurm,,16332532.0,corral-repl,,"""ee9eead0860e11e49709005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009691,,"""True""",2.0,,20012132,1418836242.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:10:56.105693,21577,9.0
2014-12-17 17:14:10.412978,rodeo_normal,1418836716.0,0,1.0,main_w2_handler1,1976796,8433727,False,,2011,tabular,586237.rodeo,slurm,,16332532.0,corral-repl,,"""181f73ec861011e4b278005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009852,,"""True""",2.0,,20012132,1418836711.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:18:40.588474,21577,5.0
2014-12-17 17:13:15.844974,rodeo_normal,1418836670.0,0,1.0,main_w1_handler0,1976796,8433712,False,,1953,tabular,586207.rodeo,slurm,,16332532.0,corral-repl,,"""f8c10eca860f11e4bc1b005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18009836,,"""True""",2.0,,20012132,1418836657.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-17 17:17:57.043384,21577,13.0
2014-12-18 16:28:47.392767,rodeo_normal,1418920478.0,0,1.0,main_w1_handler1,1976796,8440531,False,,1607,tabular,596170.rodeo,slurm,,16332532.0,corral-repl,,"""ee6903c486d211e49ed4005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18023722,,"""True""",2.0,,20012132,1418920465.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-18 16:34:42.240464,21577,13.0
2014-12-18 16:58:13.508367,rodeo_normal,1418922266.0,0,1.0,main_w2_handler1,1976796,8440725,False,,1607,tabular,596495.rodeo,slurm,,16332532.0,corral-repl,,"""0a25296886d711e4952c005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18023953,,"""True""",2.0,,20012132,1418922255.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-18 17:04:31.432466,21577,11.0
2014-12-19 14:38:05.958563,rodeo_normal,1419002379.0,0,1.0,main_w1_handler1,1976796,8445457,False,,1833,tabular,2349518.roundup,slurm,,132112264.0,corral-repl,,"""a16c1484878c11e4ac99005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18031633,,"""True""",32.0,,20012132,1419002365.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-19 15:19:40.190127,21577,14.0
2014-12-19 14:37:40.718535,rodeo_normal,1419002184.0,0,1.0,main_w2_handler1,1976796,8445451,False,,2362,tabular,604065.rodeo,slurm,,16332532.0,corral-repl,,"""92e8eb30878c11e48f44005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18031626,,"""True""",2.0,,20012132,1419002115.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2014-12-19 15:16:28.028992,21577,69.0
