create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fontsize,parameters.input.__current_case__,parameters.input.calc,parameters.input.groups,parameters.input.label,parameters.input.otu.values,parameters.input.source,parameters.nseqs,parameters.otu|__identifier__,parameters.permute,parameters.sharedotus,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-12 17:21:31.733584,slurm_normal,1515777703.0,0,,1.0,main_w3_handler0,3287353,18019091,False,,12096429,slurm,,132112168.0,corral-repl,13115,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43135597,1515777699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 17:21:45.685684,113659.0,4.0
2018-01-12 17:33:46.623927,slurm_normal,1515778477.0,0,,1.0,main_w3_handler1,3287353,18019185,False,,12096554,slurm,,132112168.0,corral-repl,13115,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""","""0.03""","""4""","""true""",32.0,,43135597,1515778472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 17:35:19.426144,113659.0,5.0
2018-01-12 17:46:51.516641,slurm_normal,1515779219.0,0,,1.0,main_w3_handler0,3287353,18019329,False,,12096718,slurm,,132112168.0,corral-repl,13115,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43135597,1515779214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 17:47:03.315475,113659.0,5.0
2018-01-12 17:46:13.850545,slurm_normal,1515779184.0,0,,1.0,main_w4_handler1,3287353,18019320,False,,12096708,slurm,,132112168.0,corral-repl,13115,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43135597,1515779180.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 17:46:27.747469,113659.0,4.0
2018-01-12 18:06:35.517590,slurm_normal,1515780403.0,0,,1.0,main_w4_handler1,3390534,18019500,False,,12096874,slurm,,132112168.0,corral-repl,16588,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,43165624,1515780398.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-01-12 18:06:45.672226,119655.0,5.0
2018-03-06 14:30:26.763111,slurm_normal,1520346640.0,0,7680.0,1.0,main_w3_handler0,3443094,18624340,False,,12720643,slurm,,132112168.0,corral-repl,16273,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,44368180,1520346635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-03-06 14:30:44.527978,122824.0,5.0
2018-03-06 15:34:39.282058,slurm_normal,1520350492.0,0,7680.0,1.0,main_w4_handler0,3443094,18625118,False,,12721430,slurm,,132112168.0,corral-repl,16273,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,44368180,1520350488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2018-03-06 15:34:55.495537,122824.0,4.0
2017-11-30 06:44:06.711577,slurm_normal,1512027054.0,0,,1.0,main_w4_handler0,3307905,17645974,False,,11705147,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41627267,1512024253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-30 07:43:41.931842,36706.0,2801.0
2017-11-30 16:33:10.907151,slurm_normal,1512062592.0,0,,1.0,main_w3_handler1,3307905,17652186,False,,11711662,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",0.0,['sharedsobs'],"['3-C1_S14_L001_001', '3-W1_S12_L001_001']",['0.03'],"[{'src': 'hda', 'id': 32180683}]",shared,"""false""",,"""4""","""true""",32.0,,41627267,1512059603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-30 19:23:45.798097,36706.0,2989.0
2017-11-30 16:17:33.315671,slurm_normal,1512058694.0,0,,1.0,main_w3_handler0,3318794,17652114,False,,11711136,slurm,,132112168.0,corral-repl,3943,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""24""",,,,,,,"""false""",,"""4""","""true""",32.0,,41894749,1512058688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_venn/mothur_venn/1.36.1.0,1.36.1.0,,2017-11-30 16:18:17.188456,60244.0,6.0
