chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-21 08:50:04.406335,slurm_normal,1477040759.0,0,,,,,1.0,main_w4_handler0,2857300,14137697,False,,8351287.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2753096,,,accession_number,"""fastqsanger""",32.0,,33800028.0,1477039859.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 09:06:05.409916,90946.0,900.0
,,2016-10-21 09:15:33.274865,slurm_normal,1477042800.0,0,,,,,1.0,main_w4_handler1,2848883,14138020,False,,8351519.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,true,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1927020,,,accession_number,"""fastqsanger""",32.0,,33564384.0,1477041507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 09:40:04.473886,91876.0,1293.0
,,2016-10-20 19:40:33.276897,slurm_normal,1477044952.0,1,,,54.0,txt,1.0,main_w4_handler1,2814579,14134369,False,,8348611.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53a3a0d28505e12b8'}]",file_list,"""fastqsanger""",32.0,,32869444.0,1476992482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-21 13:59:37.828783,89856.0,52470.0
,,2016-10-22 10:22:34.995430,slurm_normal,1477131831.0,0,138239177.0,sra,,,1.0,main_w4_handler1,2852943,14146748,False,,8359513.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b561774305c0a485c4'}]",,file,"""fasta""",32.0,,33851562.0,1477131799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-22 10:23:53.582446,92788.0,32.0
,,2016-10-22 06:33:06.091363,slurm_normal,1477118136.0,0,138239177.0,sra,,,1.0,main_w3_handler1,2852943,14146147,False,,8358976.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b561774305c0a485c4'}]",,file,"""fastqsanger""",32.0,,33851562.0,1477118101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-22 06:35:37.581911,92788.0,35.0
,,2016-10-22 13:17:25.686432,slurm_normal,1477142334.0,0,138239177.0,sra,,,1.0,main_w3_handler1,2846167,14147004,False,,8359697.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a49eb7f139f1367b'}]",,file,"""fastqsanger""",32.0,,33842791.0,1477142297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-22 13:18:56.618220,92765.0,37.0
,,2016-10-24 07:29:55.835062,slurm_normal,1477294284.0,3,,,,,1.0,main_w3_handler0,2861102,14155720,False,,8366794.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR3535691	,,,accession_number,"""fastqsanger""",32.0,,33809921.0,1477294280.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-24 07:31:25.971381,90272.0,4.0
,,2016-10-22 20:20:52.815898,slurm_normal,1477183016.0,3,,,,,1.0,main_w4_handler1,2861102,14148176,False,,8360710.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR4018437,,,accession_number,"""fastqsanger""",32.0,,33809921.0,1477167704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-23 00:36:58.183107,90272.0,15312.0
,,2016-10-23 00:34:09.812268,slurm_normal,1477183808.0,3,,,,,1.0,main_w4_handler1,2865280,14148847,False,,8361264.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647673,,,accession_number,"""fastqsanger""",32.0,,33858694.0,1477182900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-23 00:50:09.642685,92838.0,908.0
,,2016-10-23 07:14:40.655127,slurm_normal,1477208991.0,1,,,22.0,txt,1.0,main_w3_handler1,2865528,14149817,False,,8361967.roundup,slurm,,132112168.0,corral-repl,,"""589c68e098f011e6b5bf005056a51846""",both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50bb5efd1855c9ba9'}]",file_list,"""fastqsanger""",32.0,,,1477206953.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0,2.7.0,,2016-10-23 08:02:54.543667,59987.0,2038.0
