chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complement,parameters.count,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-28 08:53:02.584892,slurm_normal,1461833630.0,0,,1.0,main_w1_handler1,2675110,12664531,False,166664,tabular,,6865904.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""10""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8081d3a02e6ab91'}]",,32.0,,29676763.0,1461833627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-28 08:53:53.477378,,3.0
,,2016-04-28 09:55:45.172227,slurm_normal,1461838202.0,0,,1.0,main_w1_handler2,2688029,12665330,False,1403713,tabular,,6867482.roundup,slurm,,132112168.0,corral-repl,,"""5ca9ed680d2711e6bbb3005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""""","""20""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c840f8fb6776582'}]",,32.0,,29733080.0,1461838199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-28 10:10:03.892887,75132.0,3.0
,,2016-04-28 09:21:47.473997,slurm_normal,1461835385.0,0,,1.0,main_w1_handler0,2687950,12665002,False,174526,tabular,,6866484.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5133d5a8490cd93b8'}]",,32.0,,29676763.0,1461835382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-28 09:23:08.026676,,3.0
,,2016-03-11 21:22:49.747029,slurm_normal,1457731416.0,0,,1.0,main_w1_handler2,1404049,12110631,False,165317,tabular,,6334099.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""10""","""hg38""",23803295,,,32.0,,28951406.0,1457731411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-03-11 21:23:38.135109,33623.0,5.0
,,2016-04-29 11:22:32.113238,slurm_normal,1461928986.0,0,,1.0,main_w2_handler0,2688062,12685025,False,101755,interval,,6884908.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526995bf689cf17e2'}]",,32.0,,29941004.0,1461928983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-29 11:23:08.812795,14166.0,3.0
,,2017-01-09 22:11:15.223359,slurm_normal,1483999890.0,0,,1.0,main_w3_handler0,2951038,14719970,False,1422595,tabular,,8888882.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 27859648}]",,32.0,,35253895.0,1483999883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2017-01-09 22:11:34.318776,97777.0,7.0
,,2016-04-29 01:31:00.330978,slurm_normal,1461893498.0,0,,1.0,main_w2_handler0,2689001,12680212,False,785193,tabular,,6880719.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/apr_2011.len""","""""","""50""","""apr_2011""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56357bddefb8b2778'}]",,32.0,,29936304.0,1461893495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-29 01:31:42.257425,83367.0,3.0
,,2016-04-29 01:30:43.715719,slurm_normal,1461893482.0,0,,1.0,main_w2_handler1,2689001,12680210,False,785193,tabular,,6880714.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/apr_2011.len""","""""","""50""","""apr_2011""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b591bd8dac84eaf844'}]",,32.0,,29936304.0,1461893479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-29 01:31:23.500045,83367.0,3.0
,,2016-04-29 01:53:40.484249,slurm_normal,1461894867.0,0,,1.0,main_w2_handler0,2687899,12680298,False,31955,tabular,,6881016.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/015/452/dataset_15452711.dat""","""""","""50""","""apr_2011""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5299ed9ee37b5c4d3'}]",,32.0,,29934517.0,1461894864.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-29 01:54:28.956782,83248.0,3.0
,,2016-04-29 17:46:16.632980,slurm_normal,1461952006.0,0,,1.0,main_w2_handler0,2688811,12691050,False,3992026,tabular,,6891937.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""28000""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b512f7f0620cdc2b06'}]",,32.0,,29936109.0,1461952002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-29 17:46:55.987867,82896.0,4.0
