chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.include_no_calls,parameters.inputFile,parameters.inputFile.values,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-07-05 07:03:04.519880,slurm_normal_16gb,1467702317.0,0,1.0,main_w1_handler0,2757484,13331950,False,,5156100,bam,7539379.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3083f5363d36077'}]","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,30733819,1467702228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-07-05 07:05:20.491281,85745,89.0
,,2016-07-05 07:03:02.809330,slurm_normal_16gb,1467702259.0,0,1.0,main_w2_handler0,2757484,13331948,False,,6805496,bam,7539378.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bfcfa4a3ed2666e9'}]","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,30733819,1467702225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-07-05 07:04:23.806979,85745,34.0
169.0,len,2016-07-09 15:39:48.716923,slurm_normal_16gb,1468078842.0,0,1.0,main_w1_handler1,2761815,13367028,False,,8821752,bam,7577342.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""true""","""/galaxy-repl/main/files/016/515/dataset_16515929.dat""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51332d2b2bf15470d'}]","""true""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a429833813fc1589'}]",history,"""LENIENT""",32.0,96700.0,fasta,,31227489,1468078834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-07-09 15:40:44.059382,67979,8.0
,,2016-05-25 12:57:53.461626,slurm_normal_16gb,1464181134.0,0,1.0,main_w2_handler1,2196514,12983480,False,,60522583,bam,7170125.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586903320b4f98694'}]","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,29602049,1464181117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-05-25 12:58:58.210607,59274,17.0
,,2016-04-04 02:54:11.651080,slurm_normal_16gb,1459738520.0,0,1.0,main_w2_handler0,2656359,12329591,False,,145174368,bam,6536080.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",24129543,,"""False""",0,hg19canon,,cached,"""LENIENT""",32.0,,,,29230534,1459738462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-04 02:55:22.687075,78891,58.0
,,2016-04-04 18:58:08.452507,slurm_normal_16gb,1459812201.0,0,1.0,main_w2_handler1,2657043,12336890,False,,417334570,sam,6544539.roundup,slurm,,132112168.0,corral-repl,,"""2845f42efa9711e5bb97005056a51846""","""False""","""True""","""/galaxy-repl/localdata/chrom/Araly1.len""","""Araly1""","""False""",24141103,,"""False""",0,hg19canon,,cached,"""LENIENT""",32.0,,,,29230534,1459812150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-04 23:23:26.314095,78891,51.0
,,2016-04-08 16:50:14.531056,slurm_normal_16gb,1460135735.0,0,1.0,main_w1_handler1,2567258,12393038,False,,756884553,bam,6589219.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""False""",24217650,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,29497876,1460135326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-08 17:15:43.167815,76919,409.0
,,2016-04-07 07:49:50.331972,slurm_normal_16gb,1460015515.0,0,1.0,main_w1_handler1,2645764,12359428,False,,129734111,bam,6564732.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",24101144,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,29349072,1460015397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-07 07:51:58.874373,69813,118.0
,,2016-04-07 17:28:55.875752,slurm_normal_16gb,1460050277.0,0,1.0,main_w1_handler2,2523562,12367410,False,,251802041,bam,6570341.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",24187150,,"""False""",0,hg19canon,,cached,"""LENIENT""",32.0,,,,29477000,1460050150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-07 17:31:20.647402,74453,127.0
,,2016-04-08 07:12:53.326456,slurm_normal_16gb,1460099701.0,0,1.0,main_w2_handler1,2523562,12379579,False,,251802041,bam,6579200.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",24187150,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,29477000,1460099601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.136.0,1.136.0,,2016-04-08 07:18:13.988926,74453,100.0
