chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bam_paired_end_type.__current_case__,parameters.bam_paired_end_type.bam_paired_end_type_selector,parameters.bam_paired_end_type.force_se,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-10 02:25:34.273964,slurm_normal,1476068638.0,0,,1.0,main_w3_handler1,2568543,14041416,False,,873209555,bam,8258893.roundup,slurm,,132112168.0,corral-repl,,"""d0d0fad48e9011e684d4005056a51846""",0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5583aa985c93775e9'}]",,32.0,,33513506.0,1476068443.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-10-10 03:04:01.452622,76953.0,195.0
,,2016-11-04 02:46:56.128704,slurm_normal,1478227820.0,0,,1.0,main_w4_handler0,2878606,14247579,False,,1768919824,bam,8456685.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc7707531e5d48a8'}]",,32.0,,34058830.0,1478227620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-04 02:50:24.777530,89862.0,200.0
,,2016-11-04 03:32:41.917668,slurm_normal,1478230533.0,0,,1.0,main_w4_handler0,2879717,14247726,False,,725589028,bam,8456859.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4de781c0e2e14c0'}]",,32.0,,34080407.0,1478230367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-04 03:35:35.714436,47785.0,166.0
,,2016-11-04 03:32:42.192397,slurm_normal,1478230533.0,0,,1.0,main_w4_handler1,2879717,14247727,False,,724527305,bam,8456858.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b545091b5978828d2f'}]",,32.0,,34080407.0,1478230367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-04 03:35:35.877243,47785.0,166.0
,,2016-10-10 12:00:24.100048,slurm_normal,1476101464.0,0,,1.0,main_w3_handler0,2568543,14044352,False,,94925433,bam,8261752.roundup,slurm,,132112168.0,corral-repl,,"""1d3c18688ee111e6ab10005056a51846""",0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557a4c0989a9605dc'}]",,32.0,,33513506.0,1476101435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-10-10 12:11:08.185237,76953.0,29.0
,,2016-11-02 07:51:58.308883,slurm_normal,1478075481.0,0,,1.0,main_w3_handler0,2853250,14230619,False,,948426393,bam,8440578.roundup,slurm,,132112168.0,corral-repl,,"""3a8443c6a0d111e6ad32005056a51846""",0,PE,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cefb304634f7b9f9'}]",,32.0,,33650907.0,1478075122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-11-02 08:31:23.943253,92137.0,359.0
,,2017-03-20 21:51:01.473563,slurm_normal,1490047125.0,0,,1.0,main_w3_handler0,3039000,15348123,False,,1277466809,bam,9487542.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28849184}]",,32.0,,36732397.0,1490046860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:58:47.561797,75427.0,265.0
,,2017-03-20 21:51:17.063187,slurm_normal,1490047131.0,0,,1.0,main_w4_handler1,3039000,15348125,False,,1190808571,bam,9487543.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28849196}]",,32.0,,36732397.0,1490046885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:58:56.315205,75427.0,246.0
,,2017-03-20 21:50:55.073035,slurm_normal,1490046890.0,0,,1.0,main_w4_handler1,3039000,15348121,False,,1114498425,bam,9487527.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28849174}]",,32.0,,36732397.0,1490046663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:55:47.100347,75427.0,227.0
,,2017-03-20 21:46:36.025463,slurm_normal,1490047829.0,0,,1.0,main_w4_handler0,2823283,15348097,False,,6358283475,bam,9487479.roundup,slurm,,132112168.0,corral-repl,,,0,PE,true,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28848520}]",,32.0,,36464570.0,1490046400.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 22:12:01.415130,86394.0,1429.0
,,2016-10-06 20:48:47.788821,slurm_normal,1475790296.0,0,,1.0,main_w4_handler1,2836119,14024109,False,,3108919656,bam,8242503.roundup,slurm,,132112168.0,corral-repl,,,0,PE,false,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5769762bdf8718f0f'}]",,32.0,,33294469.0,1475789277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2016-10-06 21:45:01.162321,91117.0,1019.0
,,2017-03-20 21:50:47.798067,slurm_normal,1490046855.0,0,,1.0,main_w3_handler0,3039000,15348120,False,,983539829,bam,9487516.roundup,slurm,,132112168.0,corral-repl,,,1,SE,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28849166}]",,32.0,,36732397.0,1490046651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0,2.0,,2017-03-20 21:54:17.779963,75427.0,204.0
