create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.nlabel,parameters.plabel,parameters.ruler,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-29 15:15:41.836781,slurm_normal,1475162258.0,0.0,1.0,main_w3_handler1,2811950,13975070,False,,2303,fasta,8194447.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f647e6ea927d66b1'}]","""yes""","""yes""","""yes""","""60""",32.0,,32839006,1475162234.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:17:45.280277,89585.0,24.0
2016-09-29 15:15:20.422867,slurm_normal,1475162264.0,0.0,1.0,main_w4_handler0,2811961,13975066,False,,2303,fasta,8194449.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd0844e8530943da'}]","""yes""","""yes""","""yes""","""60""",32.0,,33332284,1475162236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:17:46.593403,89594.0,28.0
2016-09-29 15:19:05.083054,slurm_normal,1475162481.0,0.0,1.0,main_w3_handler1,2811956,13975123,False,,2303,fasta,8194501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507b88247e21295e4'}]","""yes""","""yes""","""yes""","""60""",32.0,,33332298,1475162426.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:21:24.353128,89591.0,55.0
2016-09-29 15:17:57.674009,slurm_normal,1475162532.0,0.0,1.0,main_w3_handler1,2811955,13975112,False,,2302,fasta,8194491.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc314dd00521f600'}]","""yes""","""yes""","""yes""","""60""",32.0,,33256172,1475162372.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:22:14.965543,89590.0,160.0
2016-09-29 15:21:44.445906,slurm_normal,1475162591.0,0.0,1.0,main_w4_handler1,2811946,13975160,False,,2452,fasta,8194529.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51d1697ab7ac0f3fe'}]","""yes""","""yes""","""yes""","""60""",32.0,,32797105,1475162568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:23:16.983882,89581.0,23.0
2016-09-29 15:18:39.618866,slurm_normal,1475162761.0,0.0,1.0,main_w3_handler0,2814182,13975119,False,,2173,fasta,8194548.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbcd22be2824c8b1'}]","""yes""","""yes""","""yes""","""60""",32.0,,33332445,1475162665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:26:08.043964,89758.0,96.0
2016-09-29 15:24:06.886916,slurm_normal,1475162868.0,0.0,1.0,main_w4_handler1,2814182,13975180,False,,2173,fasta,8194567.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbcd22be2824c8b1'}]","""yes""","""yes""","""yes""","""60""",32.0,,33332445,1475162724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2016-09-29 15:27:52.081197,89758.0,144.0
2017-04-10 13:09:43.838471,slurm_normal,1491829798.0,0.0,1.0,main_w3_handler1,1995864,15540776,False,,19187227,fasta,9666057.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29148978}]","""yes""","""yes""","""yes""","""60""",32.0,,37245771,1491829794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-04-10 13:10:07.983537,25840.0,4.0
2015-02-02 19:33:00.374259,rodeo_normal,1422905599.0,0.0,1.0,main_w2_handler0,1751475,8652431,False,,7347,fasta,2622656.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18386592,,"""yes""","""yes""","""yes""","""60""",32.0,,20931680,1422905596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-02-02 19:33:23.254011,43455.0,3.0
2015-02-17 18:15:48.592576,rodeo_normal,1424196962.0,0.0,1.0,main_w1_handler1,2201739,8745985,False,,7949,fasta,2795800.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18465447,,"""yes""","""yes""","""yes""","""60""",32.0,,20610347,1424196959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-02-17 18:16:04.548643,58680.0,3.0
2015-03-10 23:17:12.005805,rodeo_normal,1426029447.0,0.0,1.0,main_w2_handler0,2233472,8912687,False,,4261,fasta,3100242.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18810504,,"""yes""","""yes""","""yes""","""75""",32.0,,21702962,1426029443.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-03-10 23:17:30.659078,,4.0
2015-03-10 23:18:00.295881,rodeo_normal,1426029489.0,0.0,1.0,main_w1_handler1,2233472,8912691,False,,4261,fasta,3100246.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18810504,,"""yes""","""yes""","""yes""","""100""",32.0,,21702962,1426029486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2015-03-10 23:18:11.549658,,3.0
2017-05-23 00:07:53.951425,slurm_normal,1495498088.0,0.0,1.0,main_w3_handler1,3120675,15910995,False,,8458,fasta,10009018.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29707850}]","""yes""","""yes""","""yes""","""60""",32.0,,38116766,1495498084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-05-23 00:08:11.462852,106350.0,4.0
2017-05-24 00:57:41.360182,slurm_normal,1495587475.0,0.0,1.0,main_w4_handler1,3124680,15923047,False,,4045137,fasta,10021028.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/vibrChol1.len""","""vibrChol1""",,"[{'src': 'hda', 'id': 29742337}]","""yes""","""yes""","""yes""","""60""",32.0,,38032192,1495587471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-05-24 00:57:57.809409,39668.0,4.0
2017-06-20 03:32:04.339591,slurm_normal,1497929543.0,0.0,1.0,main_w3_handler0,3164219,16138979,False,,596066,fasta,10218721.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30090047}]","""yes""","""yes""","""yes""","""60""",32.0,,38795757,1497929540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-06-20 03:32:25.117525,,3.0
2017-07-05 07:07:26.789940,slurm_normal,1499238465.0,0.0,1.0,main_w4_handler1,3182084,16259708,False,,32003,fasta,10331382.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",,"[{'src': 'hda', 'id': 30296682}]","""yes""","""yes""","""yes""","""60""",32.0,,39099106,1499238462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-07-05 07:07:49.013770,,3.0
2017-07-10 07:04:32.867585,slurm_normal,1499670293.0,0.0,1.0,main_w3_handler0,3116009,16295451,False,,32369,fasta,10364251.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30365718}]","""yes""","""yes""","""yes""","""60""",32.0,,38043232,1499670288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyseq80/5.0.0,5.0.0,,2017-07-10 07:04:54.026377,73248.0,5.0
