Tabixized_input,Tabixized_input_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.Tabixized_input,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filterList,parameters.input1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
17094,tabix,,,2015-03-15 01:34:02.368582,rodeo_normal,1426383305.0,0,1.0,main_w2_handler0,2125374,8950113,False,,5494459,vcf_bgzip,3169875.roundup,slurm,,132112168.0,corral-repl,,18859841,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859840,32.0,,21653965,1426383288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:35:09.150879,56280.0,17.0
17430,tabix,,,2015-03-15 01:34:03.877388,rodeo_normal,1426383306.0,0,1.0,main_w2_handler0,2125374,8950116,False,,6788325,vcf_bgzip,3169877.roundup,slurm,,132112168.0,corral-repl,,18859850,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859849,32.0,,21653965,1426383288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:35:09.440521,56280.0,18.0
17297,tabix,,,2015-03-15 00:57:04.408314,rodeo_normal,1426381097.0,0,1.0,main_w1_handler0,2125374,8949948,False,,6842991,vcf_bgzip,3169564.roundup,slurm,,132112168.0,corral-repl,,18859925,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859924,32.0,,21653965,1426381079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:19.294801,56280.0,18.0
17045,tabix,,,2015-03-15 01:34:04.930310,rodeo_normal,1426383273.0,0,1.0,main_w1_handler0,2125374,8950118,False,,5600442,vcf_bgzip,3169863.roundup,slurm,,132112168.0,corral-repl,,18859857,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859856,32.0,,21653965,1426383255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:34:35.338209,56280.0,18.0
17910,tabix,,,2015-03-15 01:34:02.834083,rodeo_normal,1426383277.0,0,1.0,main_w1_handler0,2125374,8950114,False,,8671630,vcf_bgzip,3169859.roundup,slurm,,132112168.0,corral-repl,,18859844,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859843,32.0,,21653965,1426383256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:34:39.409191,56280.0,21.0
1106,tabix,,,2015-07-27 04:06:13.897342,slurm_normal,1437973214.0,0,1.0,main_w1_handler1,2391423,10003297,False,,75975,vcf_bgzip,4285867.roundup,slurm,,132112168.0,corral-repl,,20574101,"""c427551c341411e58db7005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-f \""TYPE = ins\""""",20574100,32.0,,24148243,1437973209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-07-27 05:00:17.331008,63364.0,5.0
17212,tabix,,,2015-03-15 23:27:51.700823,rodeo_normal,1426462314.0,0,1.0,main_w1_handler1,2125374,8953935,False,,6631154,vcf_bgzip,3176558.roundup,slurm,,132112168.0,corral-repl,,18865170,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865169,32.0,,21653965,1426462297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:31:56.462151,56280.0,17.0
16326,tabix,,,2015-03-15 23:09:19.943134,rodeo_normal,1426461012.0,0,1.0,main_w1_handler1,2125374,8953756,False,,3083998,vcf_bgzip,3176209.roundup,slurm,,132112168.0,corral-repl,,18864961,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -g \""GT = 1|1\""""",18864960,32.0,,21653965,1426460970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:10:14.074262,56280.0,42.0
17280,tabix,,,2015-03-15 23:27:36.581603,rodeo_normal,1426462236.0,0,1.0,main_w1_handler0,2125374,8953907,False,,5748335,vcf_bgzip,3176506.roundup,slurm,,132112168.0,corral-repl,,18865142,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865141,32.0,,21653965,1426462219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:30:37.723235,56280.0,17.0
13714,tabix,,,2015-03-15 23:27:24.213455,rodeo_normal,1426462255.0,0,1.0,main_w2_handler0,2125374,8953885,False,,1500599,vcf_bgzip,3176522.roundup,slurm,,132112168.0,corral-repl,,18865120,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865119,32.0,,21653965,1426462248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:30:58.016519,56280.0,7.0
16326,tabix,,,2015-03-15 23:10:56.741189,rodeo_normal,1426461079.0,0,1.0,main_w1_handler1,2125374,8953761,False,,3083998,vcf_bgzip,3176215.roundup,slurm,,132112168.0,corral-repl,,18864961,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -g \""GT = 1/1\""""",18864960,32.0,,21653965,1426461067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:11:20.094161,56280.0,12.0
17340,tabix,,,2015-03-15 23:27:20.877746,rodeo_normal,1426462136.0,0,1.0,main_w1_handler1,2125374,8953879,False,,6823516,vcf_bgzip,3176434.roundup,slurm,,132112168.0,corral-repl,,18865114,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865113,32.0,,21653965,1426462118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:28:58.570206,56280.0,18.0
16851,tabix,,,2015-03-15 23:27:43.532492,rodeo_normal,1426462418.0,0,1.0,main_w1_handler1,2125374,8953919,False,,4710046,vcf_bgzip,3176608.roundup,slurm,,132112168.0,corral-repl,,18865154,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865153,32.0,,21653965,1426462402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:33:40.354282,56280.0,16.0
16229,tabix,,,2015-03-15 23:27:13.619097,rodeo_normal,1426462237.0,0,1.0,main_w2_handler0,2125374,8953864,False,,3420135,vcf_bgzip,3176508.roundup,slurm,,132112168.0,corral-repl,,18865099,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\"" -f \""QUAL >20\"" -g \""GT = 1/1\""""",18865098,32.0,,21653965,1426462223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 23:30:39.228724,56280.0,14.0
