create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.cfile,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-03 02:29:38.389308,slurm_normal,1454466600.0,0.0,,1.0,main_w1_handler0,2580742,11690116,False,,2862,fasta,5946279.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23155053,,"""fasta""",32.0,,27450281,1454466596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-02-03 02:30:02.448259,76809.0,4.0
2016-09-08 03:53:10.762330,slurm_normal,1473306811.0,0.0,,1.0,main_w3_handler1,2796298,13803169,False,,2361,fasta,8023719.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56852fe5b41129c4b'}]","""fasta""",32.0,,32766319,1473306807.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-09-08 03:53:33.225414,88711.0,4.0
2016-01-22 02:15:24.543570,slurm_normal,1453428955.0,0.0,,1.0,main_w1_handler0,2573054,11576859,False,,623,fasta,5842517.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23000641,,"""fasta""",32.0,,27424412,1453428936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-01-22 02:16:01.272389,76797.0,19.0
2016-01-22 02:51:02.231539,slurm_normal,1453431090.0,0.0,,1.0,main_w1_handler0,2573054,11577268,False,,481,fasta,5842975.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23001185,,"""fasta""",32.0,,27424412,1453431082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-01-22 02:51:36.190105,76797.0,8.0
2017-05-23 17:14:52.927936,slurm_normal,1495559711.0,0.0,,1.0,main_w4_handler1,3118431,15919320,False,,6830068,fasta,10017120.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29722515}]","""fasta""",32.0,,38081540,1495559707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2017-05-23 17:15:12.332020,106280.0,4.0
2016-05-12 16:31:54.909751,slurm_normal,1463070792.0,0.0,,1.0,main_w2_handler1,2689244,12872640,False,,973,fasta,7072545.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50e3247aebcbd0e2d'}]","""fasta""",32.0,,29829957,1463070788.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-05-12 16:33:16.923064,17011.0,4.0
2016-03-20 23:10:39.464264,slurm_normal,1458515478.0,0.0,,1.0,main_w1_handler0,2640492,12205642,False,,9797,fasta,6418840.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23943094,,"""fasta""",32.0,,27967571,1458515475.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-03-20 23:11:20.429818,77782.0,3.0
2016-06-07 12:22:59.402940,slurm_normal,1465302251.0,0.0,,1.0,main_w2_handler0,2730562,13094997,False,,653045,fasta,7278473.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526c9209dca2c7aaa'}]","""fasta""",32.0,,30695377,1465302246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:24:16.958216,85625.0,5.0
2016-06-07 12:05:45.099474,slurm_normal,1465301174.0,0.0,,1.0,main_w2_handler1,2730562,13094800,False,,6930704,fasta,7278268.roundup,slurm,,132112168.0,corral-repl,,"""Esta.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51bc8a20b74e0bcb2'}]","""fasta""",32.0,,30695377,1465301170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:06:16.236693,85625.0,4.0
2016-06-07 12:22:55.924062,slurm_normal,1465302218.0,0.0,,1.0,main_w1_handler0,2730562,13094993,False,,129968,fasta,7278455.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5a380e8444dceb1'}]","""fasta""",32.0,,30695377,1465302214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:39.639848,85625.0,4.0
2016-06-07 12:22:32.313914,slurm_normal,1465302190.0,0.0,,1.0,main_w1_handler0,2730562,13094988,False,,653045,fasta,7278442.roundup,slurm,,132112168.0,corral-repl,,"""Emtu.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526c9209dca2c7aaa'}]","""fasta""",32.0,,30695377,1465302186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:13.125964,85625.0,4.0
2016-06-07 12:22:57.627400,slurm_normal,1465302226.0,0.0,,1.0,main_w1_handler1,2730562,13094995,False,,563003,fasta,7278460.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fc9c1045b338da68'}]","""fasta""",32.0,,30695377,1465302221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:50.319024,85625.0,5.0
2016-06-07 12:22:55.275823,slurm_normal,1465302227.0,0.0,,1.0,main_w2_handler0,2730562,13094992,False,,23327,fasta,7278462.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58e42f725528107c6'}]","""fasta""",32.0,,30695377,1465302221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:50.651637,85625.0,6.0
2016-06-07 12:22:56.599636,slurm_normal,1465302249.0,0.0,,1.0,main_w2_handler1,2730562,13094994,False,,8022963,fasta,7278471.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5412a0ed2f521fe97'}]","""fasta""",32.0,,30695377,1465302242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:24:13.213658,85625.0,7.0
2016-06-07 12:22:53.399969,slurm_normal,1465302225.0,0.0,,1.0,main_w2_handler1,2730562,13094990,False,,6930704,fasta,7278465.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51bc8a20b74e0bcb2'}]","""fasta""",32.0,,30695377,1465302221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:48.157002,85625.0,4.0
2016-06-07 12:22:54.676270,slurm_normal,1465302217.0,0.0,,1.0,main_w1_handler0,2730562,13094991,False,,30752,fasta,7278452.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d61a6902c687212'}]","""fasta""",32.0,,30695377,1465302212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:39.298378,85625.0,5.0
2016-06-07 12:22:58.484453,slurm_normal,1465302232.0,0.0,,1.0,main_w2_handler0,2730562,13094996,False,,3545957,fasta,7278463.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c88f69c5886bc553'}]","""fasta""",32.0,,30695377,1465302221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-07 12:23:55.730143,85625.0,11.0
2016-08-03 06:28:52.454315,slurm_normal,1470205757.0,0.0,,1.0,main_w2_handler1,2782894,13573148,False,,1958,fasta,7782089.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a554ff53bb5d50ed'}]","""fasta""",32.0,,31517922,1470205753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-08-03 06:29:18.383968,64111.0,4.0
2016-08-04 08:16:22.441887,slurm_normal,1470298607.0,0.0,,1.0,main_w1_handler0,2784717,13587876,False,,1897,fasta,7797361.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5810c3175efd606b4'}]","""fasta""",32.0,,31950404,1470298604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-08-04 08:16:49.275387,88147.0,3.0
