chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-27 15:01:51.005694,rodeo_normal,1427492449.0,0,1.0,main_w1_handler0,2251587,9062437,False,,25622,bam,3355342.roundup,slurm,,132112168.0,corral-repl,,"""2f8fcf38d49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030144,,32.0,,21438488.0,1427492445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:40:51.788733,53939.0,4.0
,,2015-03-27 15:02:05.211102,rodeo_normal,1427492602.0,0,1.0,main_w1_handler0,2251597,9062476,False,,21821,bam,3355408.roundup,slurm,,132112168.0,corral-repl,,"""36479dd8d49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030209,,32.0,,21438488.0,1427492599.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:43:25.635378,53939.0,3.0
,,2015-03-27 15:01:48.622753,rodeo_normal,1427492410.0,0,1.0,main_w1_handler1,2251583,9062432,False,,7333,bam,3355327.roundup,slurm,,132112168.0,corral-repl,,"""2e3e16dad49211e49c5d005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030134,,32.0,,21438488.0,1427492407.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:40:12.431568,53939.0,3.0
,,2015-03-27 15:01:56.889311,rodeo_normal,1427492589.0,0,1.0,main_w1_handler1,2251593,9062463,False,,9462,bam,3355401.roundup,slurm,,132112168.0,corral-repl,,"""339facbad49211e4b53a005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030180,,32.0,,21438488.0,1427492586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:43:14.212425,53939.0,3.0
,,2015-03-27 15:01:56.293322,rodeo_normal,1427492514.0,0,1.0,main_w2_handler0,2251591,9062459,False,,6681,bam,3355369.roundup,slurm,,132112168.0,corral-repl,,"""3321124cd49211e49c5d005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030175,,32.0,,21438488.0,1427492510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:42:01.116735,53939.0,4.0
,,2015-03-27 15:01:40.708925,rodeo_normal,1427492292.0,0,1.0,main_w2_handler1,2251575,9062399,False,,24827,bam,3355285.roundup,slurm,,132112168.0,corral-repl,,"""2883d5b8d49211e48675005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030082,,32.0,,21438488.0,1427492289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:38:16.081792,53939.0,3.0
,,2015-03-27 15:01:57.388054,rodeo_normal,1427492566.0,0,1.0,main_w2_handler1,2251594,9062464,False,,7420,bam,3355391.roundup,slurm,,132112168.0,corral-repl,,"""345c7958d49211e4a40d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030186,,32.0,,21438488.0,1427492562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:42:51.206988,53939.0,4.0
,,2015-03-27 15:01:44.323552,rodeo_normal,1427492367.0,0,1.0,main_w2_handler0,2251581,9062415,False,,30063,bam,3355313.roundup,slurm,,132112168.0,corral-repl,,"""2be47d7ad49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030107,,32.0,,21438488.0,1427492364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:39:30.235185,53939.0,3.0
,,2015-03-27 15:01:46.485352,rodeo_normal,1427492388.0,0,1.0,main_w2_handler0,2251582,9062425,False,,21694,bam,3355323.roundup,slurm,,132112168.0,corral-repl,,"""2de68294d49211e48675005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030125,,32.0,,21438488.0,1427492384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:39:49.634622,53939.0,4.0
,,2015-03-27 15:01:38.306212,rodeo_normal,1427492307.0,0,1.0,main_w2_handler1,2251577,9062394,False,,7917,bam,3355292.roundup,slurm,,132112168.0,corral-repl,,"""2908370ed49211e4a40d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030084,,32.0,,21438488.0,1427492304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 21:38:32.277658,53939.0,3.0
