chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.header,parameters.inputA,parameters.inputA.values,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-12 07:26:19.977434,slurm_normal,1455262063.0,0,1.0,585,bed,main_w1_handler0,2597019,11798295,False,,973403448,bed,6053036.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23308004,,"""False""",23307985,,"""False""","""False""",32.0,,26626013.0,1455262013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 07:27:45.404415,34556.0,50.0
,,2016-02-12 02:53:26.642097,slurm_normal,1455245800.0,0,1.0,585,bed,main_w1_handler2,2594365,11797451,False,,1230628382,bed,6052185.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23306805,,"""False""","""False""",32.0,,26626013.0,1455245740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 02:56:42.175917,34556.0,60.0
,,2016-02-12 02:53:24.694957,slurm_normal,1455245730.0,0,1.0,585,bed,main_w1_handler0,2594365,11797449,False,,1639946891,bed,6052174.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23306803,,"""False""","""False""",32.0,,26626013.0,1455245653.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 02:55:32.708856,34556.0,77.0
,,2016-02-12 02:53:25.868832,slurm_normal,1455246155.0,0,1.0,585,bed,main_w1_handler0,2594365,11797450,False,,1082812220,bed,6052236.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23306804,,"""False""","""False""",32.0,,26626013.0,1455246098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 03:02:38.163967,34556.0,57.0
,,2016-02-12 07:26:21.304294,slurm_normal,1455262093.0,0,1.0,585,bed,main_w1_handler1,2597019,11798296,False,,976340901,bed,6053038.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23308004,,"""False""",23307986,,"""False""","""False""",32.0,,26626013.0,1455262040.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 07:28:19.250022,34556.0,53.0
,,2016-02-12 07:26:22.866771,slurm_normal,1455262160.0,0,1.0,585,bed,main_w1_handler0,2597019,11798297,False,,1337274286,bed,6053040.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,200,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23308004,,"""False""",23307987,,"""False""","""False""",32.0,,26626013.0,1455262084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 07:29:24.432424,34556.0,76.0
,,2016-02-12 21:30:42.277323,slurm_normal,1455312953.0,0,1.0,585,bed,main_w2_handler0,2597019,11814067,False,,1156013410,bed,6062699.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,300,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23308004,,"""False""",23326311,,"""False""","""False""",32.0,,26626013.0,1455312879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 21:35:55.857615,34556.0,74.0
,,2016-02-12 21:22:30.087807,slurm_normal,1455312303.0,0,1.0,585,bed,main_w1_handler2,2594365,11814024,False,,1465450554,bed,6062610.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,300,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23326252,,"""False""","""False""",32.0,,26626013.0,1455312187.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 21:25:10.045876,34556.0,116.0
,,2016-02-12 21:22:31.416162,slurm_normal,1455312268.0,0,1.0,585,bed,main_w1_handler1,2594365,11814026,False,,1271217193,bed,6062609.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,300,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23305859,,"""False""",23326254,,"""False""","""False""",32.0,,26626013.0,1455312186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 21:24:33.270639,34556.0,82.0
,,2016-02-12 21:30:43.181000,slurm_normal,1455313035.0,0,1.0,585,bed,main_w1_handler0,2597019,11814068,False,,1349811335,bed,6062722.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,300,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23308004,,"""False""",23326312,,"""False""","""False""",32.0,,26626013.0,1455312960.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-02-12 21:37:18.339146,34556.0,75.0
