chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.vcf_samples,parameters.vcf_samples.__class__,parameters.vcf_samples.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-25 11:56:23.542667,slurm_normal,1437825406.0,0,,1.0,main_w1_handler1,2388756,9978454,False,,756594,vcf,4262297.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Daughter2""]",,,32.0,,24126784.0,1437825402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:56:47.966163,65999.0,4.0
,,2015-07-25 11:55:21.452237,slurm_normal,1437825345.0,0,,1.0,main_w1_handler1,2388756,9978448,False,,756594,vcf,4262286.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Mother1""]",,,32.0,,24126784.0,1437825341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:55:46.881587,65999.0,4.0
,,2015-07-25 12:08:32.721655,slurm_normal,1437826138.0,0,,1.0,main_w1_handler1,2388751,9978524,False,,895200,vcf,4262361.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Daughter2""]",,,32.0,,24126784.0,1437826134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:09:02.155140,65999.0,4.0
,,2015-07-25 12:07:39.384470,slurm_normal,1437826076.0,0,,1.0,main_w1_handler2,2388751,9978516,False,,895200,vcf,4262350.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Father1""]",,,32.0,,24126784.0,1437826072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:07:58.640014,65999.0,4.0
,,2015-07-25 12:08:03.132794,slurm_normal,1437826111.0,0,,1.0,main_w1_handler0,2388751,9978519,False,,895200,vcf,4262356.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Mother1""]",,,32.0,,24126784.0,1437826107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:08:33.258050,65999.0,4.0
,,2015-07-25 12:43:02.205415,slurm_normal,1437828210.0,0,,1.0,main_w2_handler0,2388488,9978796,False,,398560,vcf,4262581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20519317,,,"[""FATHER""]",,,32.0,,24106974.0,1437828206.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:43:33.350649,66032.0,4.0
,,2015-07-25 12:43:37.227957,slurm_normal,1437828250.0,0,,1.0,main_w1_handler0,2388488,9978798,False,,398560,vcf,4262582.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20519317,,,"[""MOTHER""]",,,32.0,,24106974.0,1437828239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:44:12.649539,66032.0,11.0
,,2015-07-25 12:43:58.716369,slurm_normal,1437828261.0,0,,1.0,main_w1_handler2,2388488,9978801,False,,398560,vcf,4262585.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20519317,,,"[""DAUGHTER""]",,,32.0,,24106974.0,1437828257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:44:23.916194,66032.0,4.0
,,2015-07-25 15:11:02.774458,slurm_normal,1437837096.0,0,,1.0,main_w1_handler0,2386310,9980284,False,,1215215,vcf,4263709.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20490820,,,"[""mother""]",,,32.0,,24032802.0,1437837092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 15:11:38.753805,65649.0,4.0
,,2015-07-25 15:11:21.329658,slurm_normal,1437837115.0,0,,1.0,main_w1_handler0,2386310,9980288,False,,1215215,vcf,4263713.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20490820,,,"[""daughter""]",,,32.0,,24032802.0,1437837110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 15:12:00.011636,65649.0,5.0
