create_time,destination_id,end_epoch,exit_code,fastq,fastq1,fastq1_filetype,fastq2,fastq2_filetype,fastq_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.fastq2|__identifier__,parameters.fastq|__identifier__,parameters.input_type.__current_case__,parameters.input_type.fastq.values,parameters.input_type.fastq2.values,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-21 19:27:29.596101,slurm_normal,1519241467.0,0,1216361180.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3429597,18472278,False,,12566663,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985804}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519241324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 19:31:09.488189,122054.0,143.0
2018-02-21 19:25:33.606458,slurm_normal,1519241275.0,0,1238423616.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3429597,18472242,False,,12566622,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33986187}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519241140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 19:27:57.962904,122054.0,135.0
2018-02-21 19:27:47.220094,slurm_normal,1519241464.0,0,1241043127.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18472285,False,,12566667,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985748}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519241334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 19:31:07.044661,122054.0,130.0
2018-02-21 19:27:18.673595,slurm_normal,1519241452.0,0,1262749307.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18472272,False,,12566656,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985887}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519241306.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 19:30:55.518548,122054.0,146.0
2018-02-21 20:01:58.741926,slurm_normal,1519243556.0,0,1216361180.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3429597,18472788,False,,12567226,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985782}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519243435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:06:00.579545,122054.0,121.0
2018-02-21 20:01:49.603270,slurm_normal,1519243573.0,0,1262749307.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3429597,18472787,False,,12567225,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985829}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519243405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:06:26.901297,122054.0,168.0
2018-02-21 21:56:08.890511,slurm_normal,1519250616.0,0,1178904427.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18474181,False,,12568655,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33969476}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519250504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 22:03:38.463552,122054.0,112.0
2018-02-21 20:01:38.141668,slurm_normal,1519243544.0,0,1238423616.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3429597,18472786,False,,12567223,slurm,,132109816.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33986057}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519243405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:05:46.175406,122054.0,139.0
2018-02-21 20:02:14.620251,slurm_normal,1519243588.0,0,1241043127.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18472792,False,,12567230,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985671}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519243435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:06:34.674964,122054.0,153.0
2018-02-21 20:13:34.280641,slurm_normal,1519244304.0,0,1238423616.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler1,3429597,18472920,False,,12567361,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33986187}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519244072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:18:26.406427,122054.0,232.0
2018-02-21 21:14:46.089582,slurm_normal,1519247931.0,0,1166481987.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3429597,18473772,False,,12568153,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33983951}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519247811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 21:18:56.039147,122054.0,120.0
2018-02-21 20:14:11.046140,slurm_normal,1519244369.0,0,1241043127.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3429597,18472946,False,,12567407,slurm,,132111800.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985748}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519244248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:19:32.008132,122054.0,121.0
2018-02-21 20:13:47.144436,slurm_normal,1519244359.0,0,1262749307.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3429597,18472925,False,,12567365,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985887}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519244105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:19:20.606187,122054.0,254.0
2018-02-21 21:14:08.460624,slurm_normal,1519247915.0,0,1121888415.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3429597,18473763,False,,12568152,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33983805}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519247808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 21:18:37.164834,122054.0,107.0
2018-02-21 21:56:08.443671,slurm_normal,1519250489.0,0,1161127237.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler1,3429597,18474179,False,,12568640,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33969416}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519250367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 22:01:32.933809,122054.0,122.0
2018-02-21 22:17:55.670157,slurm_normal,1519251614.0,0,1763214358.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler1,3429597,18474332,False,,12568798,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33968394}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519251482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 22:20:17.197710,122054.0,132.0
2018-02-21 20:50:10.819088,slurm_normal,1519246337.0,0,1198343738.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler1,3429597,18473537,False,,12567843,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985543}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519246220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:52:23.541184,122054.0,117.0
