chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf,parameters.reference_source.input_vcf.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-25 09:51:58.619483,slurm_normal,1437817938.0,0,,1.0,main_w1_handler2,2389360,9977823,False,,5922,vcf,4261703.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20533957.0,,hg19,,,,cached,32.0,,,,24217098,1437817933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-25 09:52:19.677496,66526.0,5.0
,,2015-08-12 13:51:39.359904,slurm_normal,1439387531.0,1,,1.0,main_w1_handler0,2205044,10100847,False,,8375436,vcf,4375571.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""","""-x""",1,20747887.0,,20747836,,,,history,32.0,1375180.0,fasta,,23212395,1439387526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-12 13:52:21.041649,58185.0,5.0
,,2015-08-12 14:04:45.322957,slurm_normal,1439388325.0,1,,1.0,main_w2_handler0,2205044,10100977,False,,8322748,vcf,4375692.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""","""-x""",1,20748025.0,,20747836,,,,history,32.0,1375180.0,fasta,,23212395,1439388320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-12 14:05:30.110395,58185.0,5.0
111.0,len,2015-08-13 13:40:19.529025,slurm_normal,1439473283.0,0,,1.0,main_w1_handler2,2407707,10109453,False,,8375436,vcf,4383254.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/158/dataset_12158341.dat""","""13augv1""","""-x""",1,20759676.0,,20759324,,,,history,32.0,139860331.0,fasta,,23212395,1439473262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-13 13:41:26.380203,58185.0,21.0
111.0,len,2015-08-13 13:45:39.844896,slurm_normal,1439473572.0,0,,1.0,main_w1_handler0,2407707,10109465,False,,8375436,vcf,4383271.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/158/dataset_12158341.dat""","""13augv1""","""-k""",1,20759676.0,,20759324,,,,history,32.0,139860331.0,fasta,,23212395,1439473566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-13 13:46:13.577531,58185.0,6.0
,,2015-08-14 21:31:08.095750,slurm_normal,1439587901.0,0,,1.0,main_w1_handler1,2401826,10122181,False,,798349,vcf,4394989.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,20696584.0,,hg_g1k_v37,,,,cached,32.0,,,,24518808,1439587894.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-14 21:31:51.553538,,7.0
,,2015-07-27 00:59:36.664292,slurm_normal,1437958804.0,0,,1.0,main_w2_handler1,2370601,10002499,False,,706638,vcf,4285074.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20572578.0,,hg19,,,,cached,32.0,,,,24328507,1437958794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-27 01:00:06.894507,65912.0,10.0
,,2015-07-27 00:59:37.066651,slurm_normal,1437958804.0,0,,1.0,main_w1_handler2,2370601,10002501,False,,636824,vcf,4285076.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20572579.0,,hg19,,,,cached,32.0,,,,24328507,1437958796.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-27 01:00:08.470174,65912.0,8.0
,,2015-07-27 00:59:38.788112,slurm_normal,1437958809.0,0,,1.0,main_w1_handler2,2370601,10002502,False,,640547,vcf,4285077.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20572580.0,,hg19,,,,cached,32.0,,,,24328507,1437958802.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-27 01:00:13.285073,65912.0,7.0
,,2015-08-16 00:11:15.898879,slurm_normal,1439683908.0,0,,1.0,main_w1_handler0,2409628,10127127,False,,165358,vcf,4399211.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20788433.0,,hg19,,,,cached,32.0,,,,24525295,1439683904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-08-16 00:11:50.175643,67444.0,4.0
