chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file_list|__identifier__,parameters.file|__identifier__,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-31 12:04:08.799436,slurm_normal,1496232710.0,0,167919119.0,sra,,,,1.0,main_w3_handler0,3134274,15977689,False,,10073515.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",,,1,,"[{'src': 'hda', 'id': 29830099}]",,file,"""fastqsanger.bz2""",32.0,,38329682.0,1496232448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 12:11:53.354796,106902.0,262.0
,,2017-05-31 12:04:10.501808,slurm_normal,1496233083.0,0,233331774.0,sra,,,,1.0,main_w3_handler0,3134274,15977694,False,,10073544.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",,,1,,"[{'src': 'hda', 'id': 29830338}]",,file,"""fastqsanger.bz2""",32.0,,38329682.0,1496232678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 12:18:07.855312,106902.0,405.0
,,2017-06-19 02:34:14.878822,slurm_normal,1497845251.0,0,5204901080.0,sra,,,,1.0,main_w3_handler0,3147331,16128102,False,,10208606.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 30073053}]",,file,"""fastqsanger.gz""",32.0,,37768360.0,1497839674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-19 04:07:32.631974,72594.0,5577.0
,,2017-06-20 00:15:34.687195,slurm_normal,1497917763.0,0,,,,,,1.0,main_w3_handler1,3164077,16137784,False,,10217620.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527566,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497917753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 00:16:04.930241,31580.0,10.0
,,2017-06-20 00:15:52.067990,slurm_normal,1497917782.0,0,,,,,,1.0,main_w3_handler0,3164077,16137787,False,,10217622.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527567,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497917772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 00:16:25.922051,31580.0,10.0
,,2017-05-31 07:28:43.994615,slurm_normal,1496215977.0,0,3685194276.0,sra,,,,1.0,main_w3_handler0,3124786,15975673,False,,10071699.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29828223}]",,file,"""fastqsanger.gz""",32.0,,38179787.0,1496215735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 07:33:00.730282,106520.0,242.0
,,2017-05-31 06:15:19.560729,slurm_normal,1496215807.0,0,,,,,,1.0,main_w3_handler0,3131730,15975294,False,,10071303.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR925746,,,accession_number,"""fastqsanger.gz""",32.0,,38285582.0,1496211328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 07:30:11.717278,106614.0,4479.0
,,2017-05-31 07:28:26.874859,slurm_normal,1496215830.0,0,1682488694.0,sra,,,,1.0,main_w3_handler0,3124786,15975672,False,,10071696.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29828220}]",,file,"""fastqsanger.gz""",32.0,,38179787.0,1496215717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 07:30:33.856196,106520.0,113.0
,,2017-05-31 07:27:41.409577,slurm_normal,1496215867.0,0,1931348671.0,sra,,,,1.0,main_w4_handler1,3124786,15975669,False,,10071697.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29828207}]",,file,"""fastqsanger.gz""",32.0,,38179787.0,1496215729.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 07:31:29.740957,106520.0,138.0
,,2017-06-19 02:34:13.753093,slurm_normal,1497847776.0,0,6485515544.0,sra,,,,1.0,main_w4_handler1,3147331,16128099,False,,10208608.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 30073043}]",,file,"""fastqsanger.gz""",32.0,,37768360.0,1497839674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-19 04:49:38.948641,72594.0,8102.0
