create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.aligner,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.phone,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-14 20:08:15.243705,slurm_multi,1518679875.0,0,30720.0,6.0,main_w3_handler2,3429235,18386889,False,,5162529394,tabular,12472685,slurm,,132112168.0,corral-repl,,0,no,"""c6e9d4e411c211e8ab53005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33861106}]","""true""",32.0,,,1518643677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-15 07:31:20.442407,84316,36198.0
2018-02-15 13:09:46.713599,slurm_multi,1518710524.0,0,30720.0,6.0,main_w4_handler2,3430306,18396048,False,,10263332060,tabular,12481845,slurm,,132112168.0,corral-repl,,0,no,"""7bf97310125111e8ab53005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33875208}]","""true""",32.0,,,1518702071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-15 16:02:07.630836,84316,8453.0
2018-02-15 14:54:30.470195,slurm_multi,1518740682.0,0,30720.0,6.0,main_w4_handler2,3430427,18397542,False,,4284960332,tabular,12484076,slurm,,132112168.0,corral-repl,,0,no,"""1d08c3e2126011e88743005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33877392}]","""true""",32.0,,,1518711048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-16 00:24:45.305284,84316,29634.0
2018-02-15 13:26:31.320683,slurm_multi,1518709439.0,0,30720.0,6.0,main_w4_handler2,3430318,18396184,False,,10911880664,tabular,12482117,slurm,,132112168.0,corral-repl,,0,no,"""d35ad8ea125311e89239005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33875418}]","""true""",32.0,,,1518703033.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-15 15:44:03.962201,84316,6406.0
2018-02-15 14:41:32.346035,slurm_multi,1518718597.0,0,30720.0,6.0,main_w4_handler2,3430327,18397426,False,,10376083932,tabular,12484056,slurm,,132112168.0,corral-repl,,0,no,"""4ab12e94125e11e89d3a005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33877251}]","""true""",32.0,,,1518710838.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-15 18:16:38.589939,84316,7759.0
2018-02-23 13:27:06.874669,slurm_multi,1519445709.0,0,30720.0,6.0,main_w4_handler2,3440116,18496319,False,,7546407789,tabular,12591973,slurm,,132111800.0,corral-repl,,0,no,"""3bdc3694189d11e893bd005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34032297}]","""true""",32.0,,,1519393037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-24 04:15:12.111319,84316,52672.0
2018-02-23 13:50:13.775669,slurm_multi,1519474447.0,0,30720.0,6.0,main_w4_handler2,3440126,18496886,False,,8389708768,tabular,12592383,slurm,,132112168.0,corral-repl,,0,no,"""74418e6e18a011e89e2a005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34032995}]","""true""",32.0,,,1519394445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-24 12:14:09.710949,84316,80002.0
2018-02-24 14:44:34.178382,slurm_multi,1519483504.0,0,30720.0,6.0,main_w4_handler2,3120439,18507006,False,,1468166,tabular,12603063,slurm,,132109816.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34047666}]","""false""",32.0,,43130943.0,1519483495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-24 14:45:06.512751,106341,9.0
2018-02-26 04:32:40.949711,slurm_multi,1519619687.0,0,30720.0,6.0,main_w4_handler2,3435124,18519105,False,,957397100,tabular,12615080,slurm,,132112168.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34066802}]","""false""",32.0,,44012962.0,1519619677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-26 04:34:49.277241,122300,10.0
2018-02-26 04:33:37.935508,slurm_multi,1519619688.0,0,30720.0,6.0,main_w3_handler2,3435124,18519109,False,,957397100,tabular,12615081,slurm,,132112168.0,corral-repl,,0,no,,"""mafft""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34066802}]","""false""",32.0,,44012962.0,1519619681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-26 04:34:49.991074,122300,7.0
2018-02-28 13:22:10.707265,slurm_multi,1519832240.0,0,30720.0,6.0,main_w4_handler2,3443120,18547564,False,,7651189846,tabular,12644326,slurm,,132112168.0,corral-repl,,0,no,"""5ec48e401c8a11e88a55005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34115561}]","""true""",32.0,,,1519824726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-28 15:37:23.157145,84316,7514.0
2018-03-01 13:24:44.697664,slurm_multi,1519937187.0,0,30720.0,6.0,main_w4_handler2,3447825,18564856,False,,7651189846,tabular,12662247,slurm,,132112168.0,corral-repl,,0,no,"""e49d67341d5311e8960f005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34143767}]","""true""",32.0,,,1519929473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-01 20:47:24.654747,84316,7714.0
2018-03-01 10:30:33.478949,slurm_multi,1519933376.0,0,30720.0,6.0,main_w3_handler2,3447593,18561751,False,,4284960332,tabular,12658851,slurm,,132109816.0,corral-repl,,0,no,"""88e1af581d3b11e883b2005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34139101}]","""true""",32.0,,,1519901845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-01 19:42:58.577202,84316,31531.0
