create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.input2_dbkey,parameters.input2_species,parameters.maf_source_type.__current_case__,parameters.maf_source_type.input2,parameters.maf_source_type.input2.values,parameters.maf_source_type.mafType,parameters.maf_source_type.mafType.__class__,parameters.maf_source_type.mafType.value,parameters.maf_source_type.maf_source,parameters.summary,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-10-28 16:08:24.093433,rodeo_normal,1414512623.0,0.0,,1.0,main_w2_handler1,2099426,8057075,False,,98501,bed,,,87700.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",17356899,,,,,,,,,,,,1,,,5_WAY_MULTIZ_hg18,,,cached,"""false""",2.0,,17975515.0,1414512518.0,ok,0.0,maf_stats1,1.0.1,,2014-10-28 16:10:28.717273,55066.0,105.0
2014-10-28 16:25:20.362664,rodeo_normal,1414513895.0,0.0,,1.0,main_w2_handler1,2099426,8057232,False,,104924,bed,,,87832.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",17356892,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""true""",1.0,,17975515.0,1414513528.0,ok,835576.0,maf_stats1,1.0.1,,2014-10-28 16:31:38.773221,55066.0,367.0
2014-10-28 17:34:53.995808,rodeo_normal,1414517817.0,0.0,,1.0,main_w1_handler1,2099426,8057769,False,,98501,bed,,,88296.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",17356899,,,,,,,,,,,,1,,,17_WAY_MULTIZ_hg18,,,cached,"""false""",2.0,,17975515.0,1414517705.0,ok,0.0,maf_stats1,1.0.1,,2014-10-28 17:37:00.517024,55066.0,112.0
2014-10-28 21:57:22.258036,rodeo_normal,1414533717.0,0.0,,1.0,main_w2_handler0,2099426,8058997,False,,106379,interval,,,89513.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",17360938,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",2.0,,17975515.0,1414533475.0,ok,0.0,maf_stats1,1.0.1,,2014-10-28 22:02:01.061990,55066.0,242.0
2015-01-29 22:56:37.711864,rodeo_normal,1422572458.0,0.0,,1.0,main_w2_handler0,2187498,8635007,False,,451399,interval,,,876917.rodeo,slurm,,16332488.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18331425,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",2.0,,20722477.0,1422572213.0,ok,0.0,maf_stats1,1.0.1,,2015-01-29 23:01:03.805666,,245.0
2014-11-30 14:48:08.206949,rodeo_normal,1417359186.0,0.0,,1.0,main_w1_handler0,2090457,8271982,False,,98472,interval,,,2141098.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17272256,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",32.0,,19824129.0,1417358896.0,ok,1023992.0,maf_stats1,1.0.1,,2014-11-30 14:53:07.278802,10438.0,290.0
2014-11-30 16:08:11.858091,rodeo_normal,1417363739.0,0.0,,1.0,main_w2_handler0,2132946,8272218,False,,6432,bed,,,357829.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17716671,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",2.0,,19806294.0,1417363700.0,ok,0.0,maf_stats1,1.0.1,,2014-11-30 16:09:02.517511,55290.0,39.0
2014-11-30 16:10:33.598165,rodeo_normal,1417363891.0,0.0,,1.0,main_w2_handler1,2132946,8272223,False,,6432,bed,,,2141379.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17716671,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""true""",32.0,,19806294.0,1417363845.0,ok,1023996.0,maf_stats1,1.0.1,,2014-11-30 16:11:32.050863,55290.0,46.0
2015-01-31 00:13:22.789445,rodeo_normal,1422663454.0,0.0,,1.0,main_w1_handler0,2187498,8642013,False,,451399,interval,,,2602530.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18331425,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""true""",32.0,,20791085.0,1422663232.0,ok,1023996.0,maf_stats1,1.0.1,,2015-01-31 00:17:39.206999,58991.0,222.0
2015-02-10 14:21:57.003589,rodeo_normal,1423578148.0,0.0,,1.0,main_w1_handler1,2197504,8693728,False,,72,interval,,,2700801.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18460633,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",32.0,,21058840.0,1423578139.0,ok,1023996.0,maf_stats1,1.0.1,,2015-02-10 14:22:30.688848,,9.0
