bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data,parameters.bed_data.values,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9910,bed,,,2016-03-09 20:38:22.945231,slurm_normal,1457556216.0,0,1.0,main_w2_handler0,2627515,12088010,False,,28355,vcf,6312711.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764335,,"""18""","""BED-features""",32.0,,28352648.0,1457556133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:43:38.590131,77099.0,83.0
9910,bed,,,2016-03-09 20:39:56.101505,slurm_normal,1457557087.0,0,1.0,main_w2_handler0,2627515,12088090,False,,24436,vcf,6313004.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764417,,"""86""","""BED-features""",32.0,,28352648.0,1457557084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:58:10.479759,77099.0,3.0
9910,bed,,,2016-03-09 20:38:15.992686,slurm_normal,1457556254.0,0,1.0,main_w1_handler1,2627515,12088004,False,,26246,vcf,6312734.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764329,,"""12""","""BED-features""",32.0,,28352648.0,1457556241.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:44:19.702113,77099.0,13.0
9910,bed,,,2016-03-09 20:38:36.110940,slurm_normal,1457556303.0,0,1.0,main_w2_handler0,2627515,12088022,False,,27963,vcf,6312746.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764350,,"""30""","""BED-features""",32.0,,28352648.0,1457556295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:06.815957,77099.0,8.0
9910,bed,,,2016-03-09 20:43:59.895372,slurm_normal,1457556330.0,0,1.0,main_w1_handler0,2627515,12088326,False,,27410,vcf,6312758.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764642,,"""289""","""BED-features""",32.0,,28352648.0,1457556325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:35.775259,77099.0,5.0
9910,bed,,,2016-03-09 20:38:44.333571,slurm_normal,1457556336.0,0,1.0,main_w2_handler0,2627515,12088030,False,,25943,vcf,6312752.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764361,,"""37""","""BED-features""",32.0,,28352648.0,1457556321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:39.567764,77099.0,15.0
9910,bed,,,2016-03-09 20:38:19.815773,slurm_normal,1457556357.0,0,1.0,main_w1_handler1,2627515,12088007,False,,28092,vcf,6312763.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764332,,"""15""","""BED-features""",32.0,,28352648.0,1457556350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:58.627535,77099.0,7.0
18514733,bed,,,2015-06-19 14:13:44.317859,slurm_normal,1434723271.0,0,1.0,main_w2_handler0,2348119,9692719,False,,12865821,vcf,4001588.roundup,slurm,,132112168.0,corral-repl,,,20058997,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20058986,,,"""human_g1k_v37_l100_gc20to25_slop50""",32.0,,23676452.0,1434723258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-06-19 14:14:35.089149,64907.0,13.0
9910,bed,,,2016-03-09 20:38:53.023518,slurm_normal,1457556370.0,0,1.0,main_w2_handler0,2627515,12088038,False,,25733,vcf,6312771.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764369,,"""42""","""BED-features""",32.0,,28352648.0,1457556365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:46:14.305337,77099.0,5.0
9910,bed,,,2016-03-09 20:38:55.594293,slurm_normal,1457556383.0,0,1.0,main_w2_handler0,2627515,12088041,False,,25360,vcf,6312774.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764372,,"""44""","""BED-features""",32.0,,28352648.0,1457556379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:46:26.989068,77099.0,4.0
