chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.header,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-17 05:21:31.003556,slurm_normal,1466140906.0,0,1.0,main_w1_handler1,2740460,13190271,False,,17638,bed,7375131.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c2385c7df2d7c0a'}]",,"""-s""",32.0,,30895939.0,1466140901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 05:21:48.242240,,5.0
,,2016-06-17 05:21:29.767538,slurm_normal,1466140910.0,0,1.0,main_w2_handler1,2740460,13190268,False,,21025,bed,7375132.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51eb5163fa5cd8c31'}]",,"""-s""",32.0,,30895939.0,1466140904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 05:21:51.030698,,6.0
,,2016-06-17 05:21:30.159700,slurm_normal,1466140919.0,0,1.0,main_w2_handler1,2740460,13190269,False,,1640,bed,7375133.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c9f5145bd8462b1'}]",,"""-s""",32.0,,30895939.0,1466140914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 05:22:01.227754,,5.0
,,2016-02-01 13:45:13.348431,slurm_normal,1454334330.0,0,1.0,main_w1_handler1,2581317,11656630,False,,99299,bed,5916945.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","""False""",23114318,,,"""""",32.0,,27865344.0,1454334325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 13:45:32.368829,,5.0
,,2016-02-01 14:14:46.536925,slurm_normal,1454336113.0,0,1.0,main_w1_handler0,2581317,11657680,False,,98801,bed,5917209.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""","""False""",23114337,,,"""""",32.0,,27865344.0,1454336109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 14:15:17.429437,,4.0
,,2016-02-01 14:16:03.149864,slurm_normal,1454336186.0,0,1.0,main_w2_handler1,2581317,11657763,False,,99299,bed,5917219.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""","""False""",23114318,,,"""""",32.0,,27865344.0,1454336181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 14:16:31.774055,,5.0
,,2016-02-01 16:09:00.882281,slurm_normal,1454342960.0,0,1.0,main_w2_handler1,2581317,11658786,False,,99299,bed,5918247.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""3500""","""False""",23114318,,,"""""",32.0,,27865344.0,1454342956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 16:09:28.551224,,4.0
,,2016-02-01 16:07:13.028704,slurm_normal,1454342854.0,0,1.0,main_w2_handler0,2581317,11658706,False,,99299,bed,5918233.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""4000""","""False""",23114318,,,"""""",32.0,,27865344.0,1454342849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 16:07:38.004423,,5.0
,,2016-06-17 07:46:21.437601,slurm_normal,1466149604.0,0,1.0,main_w2_handler1,2740460,13190967,False,,1583203,bed,7375710.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1372e63d0bdd458'}]",,"""-s""",32.0,,30895939.0,1466149600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 07:46:46.120579,,4.0
,,2016-10-12 08:42:13.151095,slurm_normal,1476261739.0,0,1.0,main_w3_handler0,2406699,14061809,False,,6717,bed,8278554.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f62b217d18dc3a42'}]",,"""""",32.0,,33213440.0,1476261736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-10-12 08:42:22.480000,51408.0,3.0
,,2016-06-17 04:21:44.099555,slurm_normal,1466137324.0,0,1.0,main_w2_handler0,2740460,13190079,False,,56270,bed,7374907.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f024b1aed605e1e'}]",,"""-s""",32.0,,30895939.0,1466137320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 04:22:07.236188,,4.0
,,2016-06-17 05:21:30.472856,slurm_normal,1466140933.0,0,1.0,main_w2_handler1,2740460,13190270,False,,19385,bed,7375142.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4a50cf5cbceed8e'}]",,"""-s""",32.0,,30895939.0,1466140928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 05:22:16.280434,,5.0
