chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-11 04:56:06.475872,slurm_normal,1428728218.0,0,,1.0,main_w2_handler0,2266593,9200093,False,,124192,interval,2182207,interval,3482499.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235684,,,19235676,,32.0,,22392620.0,1428728212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:57:01.194614,60169.0,6.0
,,2015-04-11 05:36:08.780211,slurm_normal,1428730629.0,0,,1.0,main_w1_handler0,2266719,9200205,False,,121546,interval,1411419,interval,3482628.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235818,,,19235810,,32.0,,22392620.0,1428730624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:37:10.312291,60169.0,5.0
,,2015-04-11 08:21:44.971028,slurm_normal,1428740555.0,0,,1.0,main_w2_handler1,2266785,9200524,False,,1305744,interval,775489,interval,3482941.roundup,slurm,,132112168.0,corral-repl,,"""c5fb559ae02311e493d4005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19236284,,,19236276,,32.0,,22393584.0,1428740548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 08:22:39.399665,60169.0,7.0
,,2015-04-11 08:21:47.132016,slurm_normal,1428740562.0,0,,1.0,main_w2_handler1,2266785,9200526,False,,231907,interval,969078,interval,3482943.roundup,slurm,,132112168.0,corral-repl,,"""c5fb559ae02311e493d4005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19236286,,,19236277,,32.0,,22393584.0,1428740557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 08:22:45.386545,60169.0,5.0
,,2015-04-11 05:36:06.525642,slurm_normal,1428730605.0,0,,1.0,main_w1_handler0,2266719,9200200,False,,38537,interval,1242270,interval,3482623.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235812,,,19235809,,32.0,,22392620.0,1428730600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:36:47.166926,60169.0,5.0
,,2015-04-11 05:36:09.288123,slurm_normal,1428730640.0,0,,1.0,main_w2_handler1,2266719,9200206,False,,1444154,interval,1411419,interval,3482629.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235820,,,19235810,,32.0,,22392620.0,1428730634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:37:23.201268,60169.0,6.0
,,2015-04-11 08:39:39.728736,slurm_normal,1428741635.0,0,,1.0,main_w2_handler1,2266793,9200588,False,,89854,interval,969078,interval,3483014.roundup,slurm,,132112168.0,corral-repl,,"""451c9526e02611e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19236345,,,19236336,,32.0,,22393584.0,1428741630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 08:40:37.546091,60169.0,5.0
,,2015-04-11 05:36:13.537297,slurm_normal,1428730690.0,0,,1.0,main_w1_handler1,2266719,9200216,False,,1001555,interval,851544,interval,3482640.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235819,,,19235829,,32.0,,22392620.0,1428730685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:38:12.218072,60169.0,5.0
,,2015-04-11 08:21:59.017748,slurm_normal,1428740633.0,0,,1.0,main_w1_handler1,2266785,9200537,False,,586181,interval,472021,interval,3482954.roundup,slurm,,132112168.0,corral-repl,,"""c5fb559ae02311e493d4005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19236287,,,19236297,,32.0,,22393584.0,1428740629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 08:23:56.384256,60169.0,4.0
,,2015-04-11 08:21:42.656629,slurm_normal,1428740539.0,0,,1.0,main_w1_handler0,2266785,9200521,False,,88030,interval,775489,interval,3482938.roundup,slurm,,132112168.0,corral-repl,,"""c5fb559ae02311e493d4005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19236280,,,19236276,,32.0,,22393584.0,1428740535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 08:22:21.406906,60169.0,4.0
