create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-28 09:27:15.665606,slurm_normal,1519810144.0,0,7680.0,1.0,main_w4_handler1,3445859,18545463,False,,146823076,bed,12642106,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34111859}]","""""",32.0,,44219223.0,1519810047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-28 09:29:06.405947,,97.0
2018-03-01 14:49:52.127314,slurm_normal,1519915808.0,0,7680.0,1.0,main_w3_handler0,3423314,18565560,False,,251286,bed,12660147,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34137603}]","""""",32.0,,44003256.0,1519915804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 14:50:10.860547,6342.0,4.0
2018-03-01 01:36:48.995464,slurm_normal,1519868230.0,0,7680.0,1.0,main_w3_handler0,3442495,18558318,False,,198101,bed,12654819,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 34133558}]","""""",32.0,,44162394.0,1519868226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 01:37:11.836120,122772.0,4.0
2018-03-01 00:52:30.262117,slurm_normal,1519865559.0,0,7680.0,1.0,main_w4_handler0,3442495,18558029,False,,198101,bed,12654519,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 34132841}]","""""",32.0,,44162394.0,1519865556.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 00:52:40.710975,122772.0,3.0
2018-03-01 01:08:03.600370,slurm_normal,1519866509.0,0,7680.0,1.0,main_w4_handler0,3442495,18558146,False,,198101,bed,12654630,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 34133066}]","""""",32.0,,44162394.0,1519866506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 01:08:31.090213,122772.0,3.0
2018-03-01 02:40:58.263326,slurm_normal,1519872081.0,0,7680.0,1.0,main_w4_handler1,3442495,18558598,False,,193820,bed,12655175,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 34133993}]","""""",32.0,,44162394.0,1519872077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 02:41:23.315181,122772.0,4.0
2018-03-01 15:11:19.490276,slurm_normal,1519917090.0,0,7680.0,1.0,main_w3_handler0,3423314,18565718,False,,240911,bed,12660216,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 34145729}]","""""",32.0,,44003256.0,1519917086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 15:11:32.124874,6342.0,4.0
2018-03-01 17:04:40.843678,slurm_normal,1519926841.0,0,7680.0,1.0,main_w4_handler0,3444613,18566806,False,,2958228,bed,12661980,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34094420}]","""""",32.0,,44053761.0,1519926785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 17:54:05.994834,122465.0,56.0
2018-03-01 19:27:55.171083,slurm_normal,1519932651.0,0,7680.0,1.0,main_w4_handler0,3436128,18571690,False,,94445,bed,12664107,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34154815}]","""""",32.0,,44263498.0,1519932647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-01 19:33:42.161893,121284.0,4.0
2018-03-02 14:21:18.839858,slurm_normal,1520000490.0,0,7680.0,1.0,main_w4_handler0,3449288,18581107,False,,1009121,bed,12675852,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34167655}]","""-sizeA""",32.0,,42468254.0,1520000484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-02 14:21:30.907371,93452.0,6.0
2018-03-03 00:31:20.170581,slurm_normal,1520037092.0,0,7680.0,1.0,main_w3_handler0,3448282,18588007,False,,104042,bed,12682971,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34180820}]","""""",32.0,,44268684.0,1520037088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-03 00:31:34.764394,123118.0,4.0
2018-02-26 21:41:09.122415,slurm_normal,1519681281.0,0,7680.0,1.0,main_w3_handler1,3320392,18528311,False,,21499,bed,12624469,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34083621}]","""""",32.0,,44175929.0,1519681278.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 21:41:25.164053,115950.0,3.0
2018-02-23 19:45:58.373254,slurm_normal,1519415240.0,0,7680.0,1.0,main_w3_handler0,2202343,18501691,False,,79073,bed,12597268,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34039950}]","""""",32.0,,43440111.0,1519415224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-23 19:47:29.065302,59484.0,16.0
2018-02-28 23:32:27.762539,slurm_normal,1519860773.0,0,7680.0,1.0,main_w3_handler1,3442495,18556461,False,,198101,bed,12653184,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 34131074}]","""""",32.0,,44162394.0,1519860769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-28 23:32:54.914382,122772.0,4.0
