create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.keep_dup_options.user_keepdup,parameters.pvalue,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-05 09:49:31.474299,slurm_normal,1454665800.0,0,1.0,main_w2_handler0,2585068,11716453,False,15687348,bam,,5974249.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,23195223,1,1,,"""1e-5""","""-1.0""",32.0,,27997230,1454665791.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-05 09:50:04.720717,77844,9.0
2016-02-05 09:53:36.551651,slurm_normal,1454666042.0,0,1.0,main_w1_handler0,2585068,11716494,False,15793439,bam,,5974289.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,23195196,1,1,,"""1e-5""","""-1.0""",32.0,,27997230,1454666031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-05 09:54:05.220317,77844,11.0
2016-02-05 09:54:28.859074,slurm_normal,1454666094.0,0,1.0,main_w2_handler0,2585068,11716498,False,20953565,bam,,5974294.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,23195065,1,1,,"""1e-5""","""-1.0""",32.0,,27997230,1454666087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-05 09:54:58.214810,77844,7.0
2016-01-06 18:53:29.009821,slurm_normal,1452106966.0,0,1.0,main_w2_handler0,2556294,11396187,False,1537093616,bam,,5664002.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2451960000,,22752917,1,1,,"""1e-5""","""-1.0""",32.0,,27216767,1452106437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-06 19:02:51.375877,50986,529.0
2016-01-06 19:04:59.759026,slurm_normal,1452107388.0,0,1.0,main_w1_handler0,2556294,11396249,False,1537093616,bam,,5664134.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2451960000,,22752917,0,user,10,"""1e-5""","""-1.0""",32.0,,27216767,1452107129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-06 19:09:50.364701,50986,259.0
2016-01-07 13:26:12.249022,slurm_normal,1452173495.0,0,1.0,main_w1_handler0,2557625,11405286,False,1001992161,bam,,5671954.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,2451960000,,22775350,1,1,,"""1e-5""","""-1.0""",32.0,,27259316,1452173189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-07 13:31:37.332060,50791,306.0
2016-01-07 13:26:21.838287,slurm_normal,1452173470.0,0,1.0,main_w1_handler0,2557625,11405287,False,884973009,bam,,5671957.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,2451960000,,22773715,1,1,,"""1e-5""","""-1.0""",32.0,,27259316,1452173205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-07 13:31:13.904090,50791,265.0
2016-02-08 11:04:38.903876,slurm_normal,1454929530.0,0,1.0,main_w1_handler0,2542775,11745167,False,295988230,bam,,5999988.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,23233649,0,user,3,"""1e-5""","""-1.0""",32.0,,28103676,1454929495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-08 11:05:32.836977,29344,35.0
2016-02-08 11:05:15.118308,slurm_normal,1454929575.0,0,1.0,main_w1_handler2,2542775,11745183,False,295988230,bam,,6000005.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,23233649,0,user,3,"""1e-5""","""-1.0""",32.0,,28103676,1454929540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-08 11:06:17.854189,29344,35.0
2016-02-08 18:01:24.346761,slurm_normal,1454954767.0,0,1.0,main_w1_handler0,2592548,11751745,False,119085,bed,,6006473.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",4,user_defined,120000000,23242336,1,1,,"""1e-5""","""-1.0""",32.0,,28202765,1454954513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-08 18:06:10.268026,78242,254.0
