create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.index,parameters.genomeSource.index.__class__,parameters.genomeSource.index.value,parameters.genomeSource.ownFile,parameters.genomeSource.refGenomeSource,parameters.input_file,parameters.mingenomefrac,parameters.out_prefix,parameters.windowsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-10-08 13:26:47.138377,roundup_single,1412774951.0,0,1.0,main_w1_handler1,2078150,7947444,False,,36015232,bam,1925141,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17165574,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17461628,1412774817.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-08 13:29:15.091484,52455.0,134.0
2014-10-08 15:51:18.835323,roundup_single,1412784010.0,0,1.0,main_w2_handler0,2079260,7948466,False,,322601495,bam,1926107,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17171984,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17461628,1412783518.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-08 16:00:11.328776,52455.0,492.0
2015-01-15 05:58:23.056196,rodeo_normal,1421301667.0,0,1.0,main_w2_handler1,2173126,8549998,False,,1050470133,bam,773673.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,18213672,"""1e-05""","""Short Read GC Bias Metrics""","""50""",2.0,,20391053,1421301519.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-01-15 06:01:10.635050,58011.0,148.0
2014-10-21 08:17:59.620465,rodeo_normal,1413879605.0,0,1.0,main_w1_handler1,1646721,8015131,False,,10842083,bam,51007.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,17284685,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17683940,1413879492.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-21 08:20:11.677331,24818.0,113.0
2014-10-21 13:40:56.117435,rodeo_normal,1413898971.0,0,1.0,main_w2_handler0,1646721,8016580,False,,34062254,sam,52318.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,17283764,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17683940,1413898867.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-21 13:42:55.811174,24818.0,104.0
2014-10-21 14:02:17.115723,rodeo_normal,1413900167.0,0,1.0,main_w1_handler0,1646721,8016725,False,,8130883,bam,52455.rodeo,slurm,,16332532.0,corral-repl,162321443.0,fasta,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,,,17261152.0,history,17290790,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17683940,1413900149.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-21 14:02:49.867665,24818.0,18.0
2014-10-21 16:41:08.443884,rodeo_normal,1413909701.0,0,1.0,main_w1_handler1,1646721,8018245,False,,9791451,bam,53840.rodeo,slurm,,16332532.0,corral-repl,162321443.0,fasta,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,,,17261152.0,history,17295207,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17683940,1413909681.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-21 16:41:44.675807,24818.0,20.0
2015-01-27 06:36:50.040740,rodeo_normal,1422341230.0,0,1.0,main_w2_handler1,2174295,8611600,False,,1358992982,bam,2574120.roundup,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,18215068,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,20391053,1422340624.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-01-27 06:47:11.555571,58011.0,606.0
2015-01-27 09:34:27.219795,rodeo_normal,1422351396.0,0,1.0,main_w1_handler0,2164496,8612144,False,,599233355,bam,2575086.roundup,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,18302508,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,20672928,1422351283.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-01-27 09:36:38.059774,57862.0,113.0
2014-10-22 11:09:01.287230,rodeo_normal,1413976309.0,0,1.0,main_w2_handler0,2058534,8022717,False,,41796,bam,57954.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/loxAfr3.len""","""loxAfr3""",0,loxAfr3,,,,default,17301375,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17082282,1413976150.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-22 11:11:53.357455,,159.0
2014-10-24 18:43:00.465928,rodeo_normal,1414176290.0,0,1.0,main_w1_handler1,2096840,8039102,False,,10324971,bam,71982.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,mm9,,,,indexed,17327053,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17913753,1414176188.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-24 18:44:53.748670,52455.0,102.0
2014-11-16 02:19:54.098304,rodeo_normal,1416104467.0,0,1.0,main_w1_handler0,2096047,8176680,False,,3738231378,sam,2024462.roundup,slurm,,132112068.0,corral-repl,12148703.0,fasta,,,"""/galaxy-repl/localdata/chrom/Saccharomyces_cerevisiae_S288C_SGD2010.len""","""Saccharomyces_cerevisiae_S288C_SGD2010""",2,,,,17558488.0,history,17558490,"""1e-05""","""Short Read GC Bias Metrics 273614N""","""100""",32.0,,18383414,1416104404.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-16 02:21:09.097738,55591.0,63.0
2014-11-25 09:29:55.352219,rodeo_normal,1416907826.0,0,1.0,main_w2_handler0,2129054,8244761,False,,1932498,bam,319449.rodeo,slurm,,8059880.0,corral-repl,1273468.0,fasta,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",2,,,,17672661.0,history,17672731,"""1e-05""","""Short Read GC Bias Metrics""","""100""",1.0,,19764649,1416907814.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-25 09:30:28.984715,56431.0,12.0
2014-11-25 12:11:39.616517,rodeo_normal,1416917648.0,0,1.0,main_w1_handler1,2129037,8246078,False,,216407474,bam,321299.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17674261,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17149305,1416917511.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-25 12:14:13.327467,48030.0,137.0
2014-11-25 12:16:02.421863,rodeo_normal,1416917873.0,0,1.0,main_w2_handler0,2129037,8246096,False,,507738657,bam,2110522.roundup,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17674281,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17149305,1416917781.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-25 12:17:55.390571,48030.0,92.0
