corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
191199,deeptools_coverage_matrix,2016-03-31 17:30:10.143002,slurm_normal,1459445671.0,0,1.0,main_w2_handler1,2652459,12302804,False,,6510549.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24089962,,"""mm9""","""png""","""False""","""""",32.0,,29332207,1459445611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 17:34:35.544846,81710.0,60.0
19611824,deeptools_coverage_matrix,2016-03-31 15:19:28.093756,slurm_normal,1459445677.0,0,1.0,main_w1_handler1,2652459,12301159,False,,6508954.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24087800,,"""mm9""","""png""","""False""","""""",32.0,,29332207,1459439052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 17:34:40.115872,81710.0,6625.0
2680652,deeptools_coverage_matrix,2016-03-31 17:40:20.533042,slurm_normal,1459446329.0,0,1.0,main_w2_handler0,2652459,12302882,False,,6510768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24090055,,"""mm9""","""png""","""False""","""""",32.0,,29332207,1459446298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 17:45:33.729150,81710.0,31.0
218548,deeptools_coverage_matrix,2016-03-31 17:05:26.549296,slurm_normal,1459444762.0,0,1.0,main_w1_handler2,2652459,12302524,False,,6510345.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24089623,,"""mm9""","""png""","""False""","""""",32.0,,29332207,1459444678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 17:19:27.853717,81710.0,84.0
2346196,deeptools_coverage_matrix,2016-03-31 17:49:06.065981,slurm_normal,1459446780.0,0,1.0,main_w2_handler1,2652459,12302980,False,,6510860.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24090182,,"""mm9""","""png""","""False""","""""",32.0,,29332207,1459446731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 17:53:03.497057,81710.0,49.0
32295376,deeptools_coverage_matrix,2016-04-02 13:13:41.592697,slurm_normal,1459603755.0,0,1.0,main_w2_handler1,2652776,12320044,False,,6526978.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",24115660,,"""mm10""","""eps""","""False""","""""",32.0,,28021890,1459603728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-02 13:29:18.112707,42951.0,27.0
33871744,deeptools_coverage_matrix,2016-04-02 13:34:13.381522,slurm_normal,1459604926.0,0,1.0,main_w1_handler2,2652776,12320083,False,,6527029.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",24115709,,"""mm10""","""eps""","""False""","""""",32.0,,28021890,1459604911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-02 13:48:48.808857,42951.0,15.0
111655257,deeptools_coverage_matrix,2016-03-31 18:08:53.894266,slurm_normal,1459502898.0,0,1.0,main_w1_handler1,2502735,12303181,False,,6512006.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",24090101,,"""hg19""","""png""","""False""","""""",32.0,,28747253,1459452198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-01 09:28:21.835419,55649.0,50700.0
1681602,deeptools_coverage_matrix,2016-04-01 10:40:45.890369,slurm_normal,1459507491.0,0,1.0,main_w1_handler1,2652459,12309270,False,,6517009.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24099354,,"""mm9""","""png""","""False""","""""",32.0,,29349334,1459507456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-01 10:44:55.962346,81710.0,35.0
1678209,deeptools_coverage_matrix,2016-04-01 11:01:28.174606,slurm_normal,1459508619.0,0,1.0,main_w1_handler2,2652459,12309414,False,,6517131.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24099555,,"""mm9""","""png""","""False""","""""",32.0,,29349334,1459508589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-01 11:03:43.281462,81710.0,30.0
