	fastq_input1	fastq_input11	fastq_input11_filetype	fastq_input12	fastq_input12_filetype	fastq_input1_filetype	fastq_input2	fastq_input2_filetype	parameters.analysis_type.algorithmic_options.algorithmic_options_selector	parameters.analysis_type.analysis_type_selector	parameters.analysis_type.io_options.io_options_selector	parameters.analysis_type.scoring_options.A	parameters.analysis_type.scoring_options.B	parameters.analysis_type.scoring_options.E	parameters.analysis_type.scoring_options.O	parameters.analysis_type.scoring_options.U	parameters.analysis_type.scoring_options.scoring_options_selector	parameters.fastq_input.fastq_input_selector	parameters.reference_source.index_a	parameters.reference_source.ref_file	parameters.rg.rg_selector	ref_file	ref_file_filetype	runtime
1312		160230054.0	uncompressed	154853727.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	46.0
1313		57281078.0	uncompressed	55044182.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	28.0
1314		124486847.0	uncompressed	120765736.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	25.0
1315		108557132.0	uncompressed	104610532.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	34.0
1316	652771142.0		none		none	uncompressed	738417140.0	uncompressed		illumina								paired		hg38	set		none	358.0
1317	1135979752.0		none		none	uncompressed	1285024702.0	uncompressed		illumina								paired		hg38	set		none	479.0
1318		71392521.0	uncompressed	69191519.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	39.0
1319		130345525.0	uncompressed	124755905.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	25.0
1320		73849591.0	uncompressed	71398819.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	20.0
1321		153953454.0	uncompressed	147468458.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	25.0
1322	680157817.0		none		none	uncompressed	769397371.0	uncompressed		illumina								paired		hg38	set		none	548.0
1323	954164716.0		none		none	uncompressed	1079352844.0	uncompressed		illumina								paired		hg38	set		none	231.0
1324		101806140.0	uncompressed	96974026.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	23.0
1325		132630127.0	uncompressed	126569492.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	26.0
1326		101307969.0	uncompressed	97797793.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	36.0
1327	235176187.0		none		none	uncompressed	266032003.0	uncompressed		illumina								paired		hg38	set		none	151.0
1328		108845769.0	uncompressed	103814758.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	23.0
1329		99833308.0	uncompressed	95762163.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	46.0
1330	1294502538.0		none		none	uncompressed	1464344778.0	uncompressed		illumina								paired		hg38	set		none	317.0
1331	992494296.0		none		none	uncompressed	1122711768.0	uncompressed		illumina								paired		hg38	set		none	499.0
1332	844689672.0		none		none	uncompressed	955515330.0	uncompressed		illumina								paired		hg38	set		none	469.0
1333		124678597.0	uncompressed	118790915.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	109.0
1334		97081426.0	uncompressed	93378679.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	105.0
1335	278270532.0		none		none	uncompressed	314780508.0	uncompressed		illumina								paired		hg38	set		none	155.0
1336	3540401995.0		none		none	uncompressed	3540401995.0	uncompressed		illumina								paired	auto		do_not_set	12310392.0	uncompressed	1050.0
1337	4279176999.0		none		none	uncompressed	4279176999.0	uncompressed		illumina								paired	auto		do_not_set	12310392.0	uncompressed	1257.0
1338	1132384881.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1121.0
1339	1320284688.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1333.0
1340	1711891753.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1456.0
1341	90351002.0		none		none	uncompressed	90347098.0	uncompressed		illumina								paired	auto		do_not_set	505109891.0	uncompressed	649.0
1342	726664046.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	8898.0	uncompressed	138.0
1343	338000133.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	468395214.0	uncompressed	576.0
1344	846949.0		none		none	uncompressed	844824.0	uncompressed		illumina								paired		hg38	do_not_set		none	11.0
1345	679616.0		none		none	uncompressed	677326.0	uncompressed		illumina								paired		hg38	do_not_set		none	101.0
1346	741965.0		none		none	uncompressed	740295.0	uncompressed		illumina								paired		hg38	do_not_set		none	90.0
