create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fill,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.min,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-10 05:46:53.700151,slurm_normal_16gb,,main_w1_handler0,2357355,9826673,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",561164065,bed,561164065,bed,4126094.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",20161321,,20161321,,"""1""",,23861444.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-07-10 06:01:11.123842,,857.4236910000001
2015-12-25 19:40:34.932844,slurm_normal_16gb,,main_w1_handler1,2548273,11326218,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23083616,bed,539161063,bed,5603641.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""none""",22651672,,22651682,,"""1""",,26997571.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-12-25 19:54:29.063276,75793.0,834.130432
2015-02-17 12:02:58.628625,slurm_normal_single_16gb,,main_w2_handler1,2209201,8742762,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",269060,interval,6601527169,interval,2791919.roundup,slurm,,corral-repl,,"""ab0b7662b69c11e4a071005056a52a46""","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""none""",18537377,,18535842,,"""1""",,21277404.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-02-17 14:37:11.493273,14166.0,9252.864648
2015-02-27 22:14:39.353249,slurm_normal_single_16gb,,main_w1_handler0,2222415,8831448,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",561164065,bed,561164065,bed,2950491.roundup,slurm,,corral-repl,,"""04e235a2bece11e4b8f8005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",18674594,,18674600,,"""1""",,21505326.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-02-27 22:36:59.084556,60345.0,1339.731307
2015-07-02 13:54:44.919447,slurm_normal_16gb,,main_w1_handler1,2362604,9781512,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",561164065,bed,561164065,bed,4083810.roundup,slurm,,corral-repl,,"""e490788a20c111e58e9d005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""none""",20214617,,20214617,,"""1""",,23946802.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-07-02 14:10:24.719967,65555.0,939.80052
2015-09-18 07:16:37.326886,slurm_normal_16gb,,main_w2_handler1,2443289,10350861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3641069,bed,662046924,bed,4634646.roundup,slurm,,corral-repl,,"""1861f11e5dd211e587de005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""none""",21159284,,21159346,,"""1""",,25155873.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-09-18 10:11:50.718534,5707.0,10513.391648
2015-09-18 07:18:16.136955,slurm_normal_16gb,,main_w1_handler0,2443289,10350867,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2604959,bed,429660718,bed,4634521.roundup,slurm,,corral-repl,,"""1861f11e5dd211e587de005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""none""",21159289,,21159350,,"""1""",,25155873.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-09-18 09:57:12.335614,5707.0,9536.198659000001
2015-09-18 07:21:34.396237,slurm_normal_16gb,,main_w1_handler2,2443289,10350887,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2120325,bed,350543257,bed,4635692.roundup,slurm,,corral-repl,,"""1861f11e5dd211e587de005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""none""",21159318,,21159383,,"""1""",,25155873.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-09-18 13:26:20.717735,5707.0,21886.321498
2015-09-18 15:35:17.568761,slurm_normal_16gb,,main_w1_handler0,2443749,10354580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2234642,bed,347477112,bed,4637914.roundup,slurm,,corral-repl,,"""e3b9fbfe5e1811e59159005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""none""",21164361,,21164711,,"""1""",,25155873.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-09-18 17:09:21.382538,5707.0,5643.813777
2015-09-18 23:33:08.255386,slurm_normal_16gb,,main_w1_handler1,2444218,10358336,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2753493,bed,525077601,bed,4641292.roundup,slurm,,corral-repl,,"""630fa0405e5d11e58313005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""none""",21170668,,21170737,,"""1""",,25155873.0,error,toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,1.0.0,,2015-09-19 04:05:53.348817,5707.0,16365.093431000001
