create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.async_datasets,parameters.dbkey,parameters.file_count,parameters.file_type,parameters.files_metadata.__current_case__,parameters.files_metadata.base_name,parameters.files_metadata.file_type,parameters.paramfile,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-04 18:45:38.995197,slurm_normal,,main_w3_handler1,2454233,16506618,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10576497.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmp5KkxKJ""",,39703868,error,upload1,1.1.4,,2017-08-04 18:47:08.863152,70207.0,89.86795500000001
2016-12-27 18:07:57.674977,slurm_normal,,main_w3_handler1,2940482,14652807,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8826648.roundup,slurm,,corral-repl,,"""None""","""?""",,"""bcf""",354,,bcf,"""/galaxy/main/scratch/tmpQcC2KT""",,35085737,error,upload1,1.1.4,,2016-12-27 18:09:17.169319,,79.494342
2017-08-02 01:44:58.154074,slurm_normal,,main_w4_handler1,3156013,16482961,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10551906.roundup,slurm,,corral-repl,,"""None""","""Saccharomyces_cerevisiae_S288C_SGD2010""",,"""bam""",227,,bam,"""/galaxy-repl/main/scratch2/tmpNEfKr1""",,39629862,error,upload1,1.1.4,,2017-08-02 01:46:11.211592,107709.0,73.057518
2017-05-23 13:16:26.279504,slurm_normal,,main_w3_handler1,3123624,15917072,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10014862.roundup,slurm,,corral-repl,,"""None""","""?""",,"""bcf""",396,,bcf,"""/galaxy-repl/main/scratch2/tmpAiIVtU""",,38157040,error,upload1,1.1.4,,2017-05-23 13:18:29.391203,100009.0,123.111699
2017-10-31 18:48:07.229596,slurm_normal,,main_w3_handler1,3304974,17279807,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11340447,slurm,,corral-repl,,"""None""","""?""",,"""auto""",130,,auto,"""/galaxy-repl/main/scratch2/tmpEPO9Xf""",,41637293,error,upload1,1.1.4,,2017-10-31 18:49:06.523319,114772.0,59.29372300000001
2016-07-11 15:59:10.066401,slurm_normal,,main_w1_handler1,2330928,13375965,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7586902.roundup,slurm,,corral-repl,,"""None""","""?""",,"""maf""",298,,maf,"""/galaxy/main/scratch/tmpxffuwS""",,30016385,error,upload1,1.1.4,,2016-07-11 19:10:30.634727,64505.0,11480.568326
2017-11-27 22:37:16.525908,slurm_normal,,main_w4_handler1,2856389,17611555,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11672235,slurm,,corral-repl,,"""None""","""?""",,"""auto""",130,,auto,"""/galaxy-repl/main/scratch2/tmpTGesj7""",,42070372,error,upload1,1.1.4,,2017-11-27 23:22:09.170458,66645.0,2692.64455
2015-10-20 08:49:39.002225,slurm_normal,,main_w1_handler1,2427625,10650950,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4916676.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""maf""",221,,maf,"""/galaxy/main/scratch/tmp6Ra5de""",,25412132,error,upload1,1.1.4,,2015-10-20 13:14:23.217606,19218.0,15884.215381000002
2016-05-13 12:36:49.284977,slurm_normal,,main_w2_handler0,2704806,12884124,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7083163.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",42,,auto,"""/galaxy/main/scratch/tmp5Vvzlg""",,28808086,error,upload1,1.1.4,,2016-05-13 12:41:59.593998,79792.0,310.30902100000003
2016-04-15 18:09:27.353528,slurm_normal,,main_w2_handler0,2330928,12478493,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6663946.roundup,slurm,,corral-repl,,"""None""","""anoCar2""",,"""maf""",298,,maf,"""/galaxy/main/scratch/tmp7CTjbR""",,27875858,error,upload1,1.1.4,,2016-04-15 23:15:39.356628,64505.0,18372.0031
2018-02-28 22:31:40.749572,slurm_normal,,main_w4_handler0,3445588,18555952,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12652543,slurm,,corral-repl,,"""None""","""?""","""1""","""fastqsanger.gz""",172,,fastqsanger.gz,"""/galaxy-repl/main/scratch2/tmpv1YIHz""",,43422497,error,upload1,1.1.4,,2018-02-28 22:34:05.085712,120524.0,144.33614
2018-03-01 22:59:45.932848,slurm_normal,,main_w4_handler0,3448655,18573687,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12666502,slurm,,corral-repl,,"""None""","""?""","""2""","""auto""",135,,auto,"""/galaxy-repl/main/scratch2/tmp7xIgdY""",,44271015,error,upload1,1.1.4,,2018-03-01 23:26:53.379665,122195.0,1627.446817
2016-10-28 14:46:32.689324,slurm_normal,,main_w3_handler0,2872998,14200499,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8412578.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmpW1npbl""",,33929803,error,upload1,1.1.4,,2016-10-28 15:37:47.024839,93145.0,3074.335515
2017-06-07 18:47:40.460915,slurm_normal,,main_w3_handler1,3144110,16043948,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10133744.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""bam""",227,,bam,"""/galaxy-repl/main/scratch2/tmpje5pF8""",,38512487,error,upload1,1.1.4,,2017-06-07 18:49:28.750784,66287.0,108.28986900000001
2016-02-11 19:31:24.900964,slurm_normal,,main_w1_handler2,2587639,11794414,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6047813.roundup,slurm,,corral-repl,,"""None""","""hg38""",,"""bam""",64,,bam,"""/galaxy/main/scratch/tmpiachiq""",,27977057,error,upload1,1.1.4,,2016-02-11 19:35:16.974438,77796.0,232.073474
2015-09-29 14:19:07.039179,slurm_normal,,main_w2_handler0,1333513,10459556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4736593.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",32,,auto,"""/galaxy/main/scratch/tmpvMhW0e""",,25423991,error,upload1,1.1.4,,2015-09-29 18:18:28.973823,30644.0,14361.934644
2018-02-27 05:58:47.870628,slurm_normal,,main_w3_handler0,3397684,18531494,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12627949,slurm,,corral-repl,,"""None""","""?""","""1""","""auto""",134,,auto,"""/galaxy-repl/main/scratch2/tmpafVj0i""",,44167577,error,upload1,1.1.4,,2018-02-27 05:59:41.308187,120226.0,53.437559
2017-08-04 18:43:32.407320,slurm_normal,,main_w4_handler0,2454233,16506578,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10576455.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmpJvDsnK""",,39703868,error,upload1,1.1.4,,2017-08-04 18:44:47.460379,70207.0,75.053059
2017-07-12 18:57:35.324703,slurm_normal,,main_w3_handler0,3190717,16323932,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10390321.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmpiVgw78""",,39269293,error,upload1,1.1.4,,2017-07-12 19:00:43.025229,6067.0,187.70052600000002
2016-10-26 03:03:16.026563,slurm_normal,,main_w4_handler1,2867674,14175040,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8387760.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmpZZ0smH""",,33817109,error,upload1,1.1.4,,2016-10-26 03:05:06.755227,32188.0,110.72866400000001
2016-10-25 05:56:07.680769,slurm_normal,,main_w4_handler0,2867674,14164791,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8377311.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",108,,auto,"""/galaxy/main/scratch/tmpS4YkmE""",,33817109,error,upload1,1.1.4,,2016-10-25 05:57:27.968039,32188.0,80.28727
2018-03-02 22:43:32.459006,slurm_normal,,main_w3_handler1,3445588,18587412,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12682370,slurm,,corral-repl,,"""None""","""?""","""2""","""fastqsanger.gz""",173,,fastqsanger.gz,"""/galaxy-repl/main/scratch2/tmplifhDu""",,44300133,error,upload1,1.1.4,,2018-03-02 22:49:28.447112,120524.0,355.988106
2017-07-17 18:11:22.174822,slurm_normal,,main_w4_handler1,2981255,16362601,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10425496.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""auto""",123,,auto,"""/galaxy-repl/main/scratch2/tmpW8gAOc""",,38141854,error,upload1,1.1.4,,2017-07-17 18:17:46.674714,96837.0,384.49989200000005
2016-09-09 14:30:50.494977,slurm_normal,,main_w4_handler1,2778343,13815848,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8037213.roundup,slurm,,corral-repl,,"""None""","""hg38""",,"""bam""",66,,bam,"""/galaxy/main/scratch/tmpiZ4Jbq""",,31815404,error,upload1,1.1.4,,2016-09-09 15:59:00.869412,21426.0,5290.374435000001
2017-07-13 03:31:29.523487,slurm_normal,,main_w4_handler1,3187797,16327781,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10394386.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""maf""",101,,maf,"""/galaxy-repl/main/scratch2/tmpN8qy7r""",,39226932,error,upload1,1.1.4,,2017-07-13 04:13:02.023650,108771.0,2492.500163
