create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-06 11:39:35.841232,slurm_normal,,250894252,fastq.gz,main_w3_handler1,3016298,15218722,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9367609.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28636564}]",file_list,"""fastqsanger""",,36384079,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-07 23:39:50.868277,101188,129615.02704500001
2017-03-08 19:43:13.421735,slurm_normal,,7217659988,fastq,main_w4_handler1,3019773,15245981,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9392603.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28630749}]",file_list,"""fasta""",,36474068,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-10 09:14:34.416349,101427,135080.994614
2017-03-17 03:56:16.727665,slurm_normal,,13278608521,sra,main_w3_handler0,3025486,15320186,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9461327.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28799228}]",file_list,"""fastqsanger""",,36676306,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-18 16:15:19.579021,47785,130742.85135600001
2017-04-12 07:30:31.681381,slurm_normal,,380124785,fastq.gz,main_w3_handler0,3070185,15563147,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9686747.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29183713}]",file_list,"""fastqsanger""",,37287378,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-13 19:30:59.907094,103953,129628.225713
2017-04-12 11:48:54.934177,slurm_normal,,234041513,fastq.gz,main_w3_handler0,3070433,15564591,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9688134.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29185918}]",file_list,"""fastqsanger""",,37289625,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-13 23:49:32.523508,103965,129637.58933100001
2017-05-04 13:28:23.727982,slurm_normal,,7223482556,fastqsanger,main_w3_handler1,3026578,15748478,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9857315.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28707632}]",file_list,"""fasta""",,36984407,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-06 01:28:33.718682,101427,129609.99070000001
2017-05-04 13:26:25.852979,slurm_normal,,66831786,sra,main_w3_handler1,3097645,15748451,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9857531.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29470562}]",file_list,"""fastqsanger""",,37754020,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-06 01:42:34.006489,105228,130568.15351
2017-05-04 13:25:17.968251,slurm_normal,,117419907,sra,main_w4_handler0,3097645,15748442,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9857533.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29471105}]",file_list,"""fastqsanger""",,37754020,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-06 01:43:04.043545,105228,130666.07529400001
2017-05-04 17:06:00.235748,slurm_normal,,6628113445,fastq.gz,main_w4_handler1,3093918,15750951,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9859614.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29475077}]",file_list,"""fastqsanger""",,37716543,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-06 05:06:33.520365,105080,129633.28461700001
2017-05-05 16:22:34.481728,slurm_normal,,155866128,fasta,main_w4_handler1,3096404,15759881,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9867862.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29485979}]",file_list,"""fasta""",,37298048,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-07 04:23:08.353607,86668,129633.87187900001
2017-05-27 07:09:58.016925,slurm_normal,,526063601,fastqsanger,main_w4_handler0,3121277,15950653,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10048914.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29790999}]",file_list,"""fastqsanger""",,38125830,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-05-28 19:10:34.162051,106365,129636.145126
