chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.input_type,parameters.options_type.__current_case__,parameters.options_type.force_quality_encoding,parameters.options_type.options_type_selector,parameters.options_type.output_type,parameters.options_type.summarize_input,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-02 14:38:10.216049,slurm_normal,,main_w1_handler2,2691179,12734194,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4326604291,fastqsanger,6932159.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b590672bed8b720a38'}]",,"""sanger""",0,,basic,,,,28776799.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-04 02:39:16.563332,67495.0,129666.34728300001
,,2016-05-02 15:13:04.581772,slurm_normal,,main_w1_handler0,2677285,12734603,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3678576383,fastq,6932701.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59124d0be78d30226'}]",,"""sanger""",0,,basic,,,,29728814.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-04 03:19:15.768137,82988.0,129971.186365
,,2016-05-02 15:42:48.448841,slurm_normal,,main_w1_handler2,2691975,12734766,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1135119484,fastq,6933139.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53dd10f4d5f51f9f4'}]",,"""sanger""",0,,basic,,,,29101891.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-04 03:43:45.276812,,129656.827971
,,2016-05-06 04:57:50.608355,slurm_normal,,main_w1_handler1,1988914,12800600,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3619761275,fastq,7001427.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57cae04fe5127a65d'}]",,"""sanger""",1,ascii,advanced,illumina,summarize_input,,30061910.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-07 16:59:39.896785,40151.0,129709.28843000002
,,2016-05-06 05:57:32.586557,slurm_normal,,main_w1_handler1,1988914,12800667,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3619761275,fastq,7001821.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57cae04fe5127a65d'}]",,"""sanger""",1,ascii,advanced,illumina,summarize_input,,30061910.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-07 17:58:08.879111,40151.0,129636.29255400001
,,2017-03-04 02:43:28.787565,slurm_normal,,main_w3_handler0,3018612,15205353,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2423865138,fastqsanger,9361206.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28612915}]",,"""sanger""",0,,basic,,,,36428795.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2017-03-07 02:48:25.874425,,259497.08686
,,2016-05-08 23:41:40.457163,slurm_normal,,main_w2_handler1,2693713,12825918,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8563910250,fastq,7026592.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a385b2b3f0848033'}]",,"""sanger""",0,,basic,,,,30025233.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-10 11:42:26.555682,83806.0,129646.098519
,,2016-05-08 07:16:53.263153,slurm_normal,,main_w2_handler1,2616219,12820511,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4297356522,fastq,7021530.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57872cbb758aafb3e'}]",,"""sanger""",0,,basic,,,,28961398.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-09 19:17:51.271029,79511.0,129658.007876
,,2016-05-09 23:14:25.041136,slurm_normal,,main_w1_handler2,1988914,12838461,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3619761275,fastq,7039550.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57cae04fe5127a65d'}]",,"""sanger""",1,ascii,advanced,illumina,summarize_input,,30061910.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-11 11:15:04.738244,40151.0,129639.69710800001
,,2016-05-10 03:18:17.907605,slurm_normal,,main_w1_handler0,1993748,12839527,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",22502974540,fastqsanger,7040504.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54bff748f1bc9a6cb'}]",,"""sanger""",0,,basic,,,,30080655.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-11 15:19:08.260868,25796.0,129650.35326300001
,,2016-05-10 04:14:28.662060,slurm_normal,,main_w1_handler0,2700192,12839843,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9826809867,fastq,7040799.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5490aaee597dadff6'}]",,"""sanger""",0,,basic,,,,30122924.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-11 16:15:06.528852,37531.0,129637.86679200002
,,2016-05-10 04:14:29.165546,slurm_normal,,main_w1_handler1,2700192,12839844,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11336711337,fastq,7040798.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e292db7bc41334fc'}]",,"""sanger""",0,,basic,,,,30122924.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-11 16:15:08.355895,37531.0,129639.19034900001
,,2016-05-10 04:14:30.424856,slurm_normal,,main_w1_handler1,2700192,12839845,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10466750627,fastq,7040797.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eed895f93dcf2806'}]",,"""sanger""",0,,basic,,,,30122924.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-05-11 16:15:09.036230,37531.0,129638.61137400001
,,2016-10-13 01:51:07.722036,slurm_normal,,main_w3_handler0,2848883,14069207,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",22152405008,fastqsanger,8286308.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5274df61f6d9d18e1'}]",,"""sanger""",0,,basic,,,,33564384.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-10-14 13:51:37.266396,91876.0,129629.54436000001
